@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'disgusting dallas find reason save 100% wrong',IND
'please every network bullshit obviously stop pretending political showing',OTH
'idiots right hated conservatives',GRP
'bitch mean',IND
'sickening watch justify control agenda #gunsense dishonest',IND
'moment guys dumb fire shit need half body half stomach',IND
'liberals trying destroy conservative time charge jail liars destroy',GRP
'fucking great love death problem',IND
'watch records justice department official #tcot #maga #rednationrising',OTH
'lying shit',IND
'cant nigga',GRP
'point australian dont free speech hate speech laws people enough point room deny',OTH
'amazing dems always ones hear whistle',IND
'straight never support another team',OTH
'trump fans bullies antifa movement need',GRP
'documents must getting close crook',IND
'removed rest',GRP
'bitter hateful woman ruining',IND
'right total right gonna',IND
'another dont think anyone wants amendment majority want sensible control form better background checks banning assault trump anything base snake',IND
'thats throw race forget happened white women accused bill clinton sexual allegations liberal democrats around liberals disgusting disgraceful human beings created',GRP
'sick head lost daughter',IND
'playing dirty liberals point',GRP
'cant believe didnt work pizza alex jones conservatives lost',GRP
'thing know didnt write oped dumber rocks',IND
'needs every american people disgrace senate people',IND
'much laugh excuse besides plain shit',IND
'fact longer tries give sides story instead gives side #antifa left liberals gods look dont even enough anymore',GRP
'said away talking control said maybe didnt mean proving leftist thats fine still dont trust anymore',OTH
'liar',IND
'hollywood media make jokes jesus christians think thats hilarious turn every innocent joke conservatives tell outrage typical',OTH
'probably referring fact started whos apparently shit apparently years mean face_with_tears_of_joy face_with_tears_of_joy',OTH
'lying public doesnt trust anymore',IND
'either shame going shame',IND
'another',IND
'shows ugly party system liberals actually straight need leave democratic party party hatred leave',GRP
'great book pope last pope corruption evil forces controlling decades',IND
'hear liberals loved supported times knew gone wrong supported',IND
'nigga',GRP
'lindsey talks simply hear news weird agenda supported well facts really fool trump',IND
'every telling happened children clearly dont believe shit happened another tactic liberals',OTH
'thinks youre full shit',IND
'need find lady thing terrorist waiting',IND
'open everyone really shame liberals',OTH
'dumber week',IND
'filled nerve mock #conservatives unemployment line',GRP
'something dont seem right year long shootings talk control makes think government behind crap',OTH
'bafoonicus',IND
'never going happen million years unless soros bunch antifa',IND
'hell think doesnt mean guilty women accused voice right clear name needs',GRP
'today collins back another excuse vote disgusting every wont stop working common',IND
'anyone think lying opportunist',IND
'bullshit people died incompetent government puerto rico start mayor stop lying gutierrez',IND
'really bitch',IND
'remember might apply chicago',IND
'another made word used liberals attempt criticism ridiculous hypocrisy',GRP
'america destroyed president cancer democracy',IND
'sure shes worried give break know make living healthcare dirt bags dont even crying control',IND
'thumbs_up',IND
'100% death threats thing disgusting party says antifa dangerous resistance group kavanaugh family death threats minds want know',GRP
'fucking behind dude',IND
'sure woman mostly throw mean ugly feminist women penis',GRP
'poor #maga',IND
'crazy person',IND
'conservatives trash party canada',GRP
'republican party dont anything control people killed reason republican party dont anything killing republicans trying america',OTH
'even career start album hype zero release album face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hype zero',IND
'fool denying ones free speech deny free speech',IND
'mother fucking apple shut fuck adults trying twitter face_with_tears_of_joy',GRP
'shes liberal professor always spewing hatred conservatives youre going hell rest bags',IND
'hope bankrupt soon',OTH
'strong character anybody bitter sore loser character',IND
'human',IND
'stop_sign news stop_sign senate pass bill',GRP
'apparently running',IND
'order money amazing dishonest spreading fake news',IND
'dumb clueless pushing dream fools office',IND
'back liberals stupid crying favor past future victims rape assault said stupid',IND
'carrey sick',IND
'eric evil',IND
'lying leftist',IND
'death threats antifa sitting outside house republicans social media',IND
'gutierrez youre liar thats guys good',IND
'sexy',IND
'good disgusting human',IND
'nigga lose',IND
'american women allowed continue babies hitler killed babies liberals pathetic crooked children except babies',GRP
'fake prove',OTH
'told theres group israel &amp america controlling foreign decades using lies &amp believe #maga #americafirst',IND
'control fucking wouldnt shit',IND
'left hand right brain left right left brain',IND
'sick pervert gets',IND
'want corrupt bitch gitmo',IND
'anita hill liar liar',IND
'social home child complain bullying behaviour teachers super active',GRP
'americans want form control americans want government protect environment americans immigration good thing &amp 100% americans believe belong &amp dont suck',OTH
'john kerry potus getting done democrats tried cash &amp funds &amp obamas crooked deal helped fund terrorism walk',IND
'according hurricane trumps fault trumps fault trump hillary true',IND
'mean hate',IND
'know belongs violent liberal antifa party hoods beat total strangers &amp funded party violent &amp corrupt party trying tears &amp believe heart hard sell anyone including voters',IND
'nerve saying 2019 thats block soon dream fail full majority 2019 please dont wake dream getting seat',IND
'muslim need remember',IND
'ford everything vote #maga',IND
'dont forget trumps fault make worst forgot tell hurricane trumps fault',IND
'politically correct speech control laws attacks constitution hypocrisy showing',IND
'crazy ones',IND
'must says',IND
'allowed wife abused years covered everyone including wife help lies never thought anyone total',IND
'shit',IND
'liberals dont give',OTH
'bitch',IND
'might well info info crap media empty brains wonder control universal background checks #gunsense',OTH
'fuck wall american white black kill control help',GRP
'always blue dont seem much except helping socialist',IND
'sensible control help mentally unstable people guns people orders guns needs zombie',GRP
'reason dont wife',IND
'dumb',IND
'#maga #walkaway',IND
'means nothing always none promises come true sure still follow starting realize full crap',IND
'cuter shhhh',IND
'maxine waters threatening violence president president come washington capital police sleeping democrats crime',GRP
'drunk tell little character alone seems likely conservatives order means using social order',IND
'part hoping hard working americans',IND
'beautiful sexy smiling_face_with_hearteyes',IND
'dont know fact claim bullshit imagine never clean regulations years wait dont look quality china thats conservatives',GRP
'shes looking bitter',IND
'thinks funny shes shes disgusting',IND
'story think going kill president never follow case guns whats police bring light control issue bias',IND
'whore mayor stealing money funded dems bash potus country power knows theres enough replace',IND
'saying youre live north',IND
'horrible face_vomiting face_vomiting face_vomiting',IND
'lotto',IND
'control crowd illegal immigrants country armed',GRP
'women lose credibility women liberals movement women really abused disgusting',GRP
'liberals mock president trumps skin color threaten family even',GRP
'cause opinion different guess makes bigot',IND
'death means thumbs_up',IND
'youre antifa shit brains queen needs',IND
'know ar15 educate close dont know talking pouting_face pouting_face pouting_face',IND
'agree intelligent latest policy wealth fund something long supported doesnt someone party time',IND
'disappointed serena wrong dont disrespectful serena &amp',IND
'theyre quality',GRP
'biggest hypocrite country embarrassing senator',IND
'prison time youre going face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy #maga #qanon',IND
'hard believe female liberals personal political gain',GRP
'people shouldnt face_with_tears_of_joy',IND
'damn cute',IND
'beyond moron',IND
'hypocrisy liberals last year sexual working government',OTH
'even close happened liar idiotic actions court',IND
'dont believe shes even getting death threats conservatives dont &amp soros',IND
'white slave owners',GRP
'abuse liberals',GRP
'need start movement worse antifa dogs',GRP
'liberals seeing presidents disgusting penis room horrible cant stop thinking member',OTH
'#kavanaugh issues response view deserves defend reputation completely false never done anything anyone',IND
'perfect seat',IND
'show must must crazy liberals screaming throwing inside animals hearings going another',GRP
'face_with_tears_of_joy',GRP
'blaming thats pretty rich considering done zero want senator',IND
'thats racist nose doesnt even look typical black woman racist',IND
'best season doesnt mean rolling_on_the_floor_laughing fuck',IND
'dumb wear next game',IND
'shit said tweet face_with_tears_of_joy face_with_tears_of_joy',IND
'knew werent real republican committed party need leave disgrace every member work towards solutions constantly potus quit already',IND
'haha hard sure relate correct trump really literally company jokes',IND
'transparency women victims truly liberals wouldnt know hurt real women really need help',GRP
'civil rights right kill child right people control laws save lives children',IND
'running lower fucker',IND
'dont want health care want rich people less taxes dont care dont want control afraid immigrants full hate control government',GRP
'talks dumber looks maga',IND
'feel sorry voters good choice',GRP
'juan know side pretty much know going listening watching better nauseated_face',IND
'leftist collusion party',GRP
'sexual assault #trump family time #maga girls stay silent',GRP
'especially play good religious interview seriously imagine pulling crap interview &amp imagine interview supreme court justice much time talking pure',IND
'fuck yeah',IND
'empty soul',IND
'away child boring cant even pile_of_poo',IND
'nobody cares paid police need hold lock',GRP
'fake info people forget &amp religious books prove stupidity fight cause moral means',IND
'back better jealous',IND
'anyone surprised president treason russia elected pick rapist supreme #maga #kavanaugh',IND
'sucks team',IND
'fucking',GRP
'cant stupid #maga #qanon #thursdaythoughts #drainthedeepstate #wwg1wga #walkaway',IND
'knew find liberals fault face_with_rolling_eyes',GRP
'long might make sense',OTH
'brett kavanaugh supposed selling point elections become enough lies away liberals listening ignorant stories pouting_face pouting_face pouting_face pouting_face',GRP
'conservatives become party',GRP
'free thought shit lmaoooo',IND
'liberals sick disgusting animals brains',OTH
'women meant look even dont give shit',GRP
'control activist david used shoot',IND
'long thought liberals children adult',GRP
'course remembered biggest hypocrite history change rules constantly',IND
'nose know loud mouth media using promote control order bring attention control debate knows nothing',IND
'upon surely fault',IND
'deranged left make little boys really going happen pure evil #votedemsout #maga',GRP
'good',IND
'shyt',IND
'broke little might cause desperate actions thats',GRP
'limits',IND
'seriously really believe crap dont move offensive ugly side',IND
'never planned quickly liberals never learn know tactics actions &amp know think &amp research thats hate cant control',GRP
'well shootings keep happening stupid laws time americans woke something keep happening going help proper control laws',IND
'national full people mean paying people cause violence spoke antifa official group terrorists',GRP
'serena bully line judge open points away losing went point lost match threats shes bully',IND
'left become bunch thugs',OTH
'love dont give isnt mentally dangerous idiot',IND
'calls intellectual knows smarter intellectual',IND
'joke lefties behaviour disgusting',IND
'latino conservativesselfhating freaks',GRP
'talk worst year player history',IND
'woman nothing play tennis constantly disrespectful insane whole apology',IND
'child',IND
'mean communist antifa people coming defense despite shit political team dumb',GRP
'assholes going jail happened paid company mueller knows',IND
'mean',IND
'traitor',IND
'pick fuck',IND
'people always bullshit &amp missing anything another person cant shit together &amp better time anyway',GRP
'stupid',IND
'well always porn title going love porn',IND
'domino',OTH
'tried shit positive work isnt kind pedo garbage',IND
'conservatives tweet',GRP
'voice domestic violence lobby #cdnpoli',IND
'another need common sense control legislation documents alleged mass murderer thought wife cheating',OTH
'going tell time fuck block report whos current president',IND
'maga nothing innocent satan',OTH
'realize radical tweets sound right trying antifa',IND
'looks sucking goes hearings',IND
'hopefully team',IND
'mouth &amp evil friend opinion',IND
'needs serious help anger case',IND
'chance blew',IND
'need control right wait guess doesnt stop criminals abiding citizens known think want control disarm',GRP
'dick sell quick',IND
'cities policies promote growth lack daily killings control issue',IND
'didnt money accounts stuff everything obsession hope',IND
'liberals democrats demand transparency well transparency said start thread careful wish',IND
'want #maga stop intellectual china away china give business countries business move countries make look weak china crook',IND
'omghe legs',OTH
'look gordon deep threat hurt need come play',IND
'waiting mean gonna',GRP
'piece human trash going away nobody cares constantly thinks trump call going live telling people attack conservatives',IND
'anyone supports control racist',GRP
'stands care human side',IND
'youve become another nail trump',IND
'communist daddy #maga',IND
'dont support control support says read history find part reason',GRP
'something must wanna someone gives beating first lets around black women much better find white people much',IND
'deplorable dregs society says make criminals think #maga #wwg1wga #qanon #draintheswamp #drainthedeepstate',GRP
'glad worked hard shame thing understand talk write clearly',IND
'look mirror lefties bigger bullies antifa progressive leftist trying right',GRP
'saying niggas nike military racist military fuck nike face_with_tears_of_joy',OTH
'always lier',IND
'said things liberals president trump immigrants trying people country &amp follow rules come come criminal turn &amp another point view',GRP
'antifa',IND
'babies arent future suppose sucking dead putting trash thats thing',IND
'obama preach control drug mexico advocate open borders piece shit worth obama',IND
'wrong time long piece carry',IND
'last night watched whole never heard started talking platform liberals ruin everything',GRP
'line sucks',OTH
'nigga made knows brought back',IND
'unhinged liberals scared wont able murder babies normal people common sense fake accusation',GRP
'another brat antifa lock comes another except raped middle room stuck mouth prove wrong',IND
'plenty conservatives work afraid share racism hate democrats sickening',GRP
'fuck fuck although conservatives fucking right',IND
'seeing post legislation control hand legislation need support mental individual',GRP
'probably death threats votes likely lots support #maga voters',GRP
'rest america swamp washington washington worst place decide whats good america',OTH
'democrats continue rapist democrats republicans allow rapist president isnt',GRP
'cant believe fucking died red_heart',IND
'white liberals easily worse bigots nothing coward wants keep kind identity politics thank people seeing evil',IND
'boss conservatives shouldnt made weak leader wouldnt happened tries left wing freedom speech coward takes positions trudeau',IND
'need away wants media control',IND
'gods part lets hope conservatives part stay polls dems desperate fraud',IND
'obama holder cops getting killed year hated enforcement civil',IND
'control disgrace',GRP
'dumb',IND
'please bitch lump dumb sister skull',IND
'lost half fans getting involved politics believe support open borders control much dope guess common',IND
'mean forced democrats liberals racist people dont problem',IND
'fake news right mind along',IND
'standard trudeau canadians think canadians stupid',GRP
'empathy president presidential trump hope',IND
'awesome awesome dont call shit movie well bitch fired left',IND
'never rest career hope season cause thats good nice',IND
'good miss follow seems idiot &amp think perfect even though disagree still looking better model america',IND
'fuck dont start working soon whole shit',IND
'gonna antifa idiots shot fast face_with_tears_of_joy face_with_tears_of_joy dont even realize owners really aware whats going around',GRP
'favorite play mass murderer real life',IND
'think knows going lose anyway nothing lose battle suicide think unfortunately stay news',OTH
'agree antifa arrested start',GRP
'dont remember time liberals believe',GRP
'lost soul father real good',IND
'nut',IND
'support control grinning_face',IND
'prosecuted waste beautiful person ruined family friends lives know little loved',IND
'swear niggas make wanna turn phone',GRP
'conservatives person believe need become elections dont well dishonest dems think violence worse conservatives need able defend loved ones',GRP
'every western country thats mass shootings control lying',GRP
'treason free america antifa',GRP
'democratic socialism #maga #kag',IND
'state level crime alleged silly liberals crime committed kavanaugh probably liar ford',GRP
'hands control',IND
'thing fascist left antifa socialists democrats folks right fascism look trump attacks rule putin',IND
'keep nonsense democrats midterms taxes youll able page everyone universal health care control save lives learn eventually',GRP
'dick figures lies enough people start believe right leftist playbook',IND
'sexy',IND
'think racist touch reality presidency reality show empathy suffering tell truth mentally incapable president country',IND
'fired arrested clearly using drugs',IND
'well really sure went claiming women asshole completely wrong tweet nothing clear fact sucks',IND
'kick absolute',OTH
'wont looks never takes time',IND
'stop spreading false news hurt enough dont need shit',OTH
'obama done nothing problem office going telling stories trump able hope control',IND
'disgusting need politics corrupt kind politicians americans tired country brett kavanaugh voted americans stand',IND
'even chris said people stop first warning second warning serena kept going sucks ended keep arguing making comments second warning expecting',IND
'fools respect',IND
'fucking football',IND
'guilty',IND
'broken gonna able demon gonna cool using every battle',IND
'half apology goes away conservative anything close ruined life mentally deranged liberals totally disgusting',OTH
'sound stuck record dont find something less boring instead',IND
'kerry needs prosecuted iran needs done quickly security &amp remove',IND
'metoo movement democrats &amp hate group antifa another form agenda metoo people jump name justice mass bullying threaten expose',GRP
'cant tell story whore life fuck people money',IND
'trump started mess stop doesnt part problem',IND
'traitor thinks',IND
'political slap face women really abused liberals know leader told whatever power pathetic',OTH
'mother spoiled still loves brat things happen brat deserves still child realize',IND
'years republicans obamas outrage phony fake president',IND
'lmao',IND
'indeed follow sometimes',IND
'went high school dumb liberals area',GRP
'hate solution change playbook losers',GRP
'totally question making millions dollars still make living unethical',IND
'dont pigs dont life outrage bill clinton keith ellison hypocrites #maga',GRP
'maybe consider instead theresa isnt real name shes conservatives terrorist',GRP
'says stands sensible control',IND
'outrage something credible instead #maga',IND
'people love david think waters dick obviously',IND
'ridiculous',IND
'thats #walkaway waters zero control demon within thats happens &amp stupid folks devil satan 2016 #americafirst #maga',GRP
'fucking little',IND
'cares sick head',IND
'theres video coach literally lmao maybe read strong shitty opinions',IND
'kerry nothing damn politician going trying president traitor sure better watch',GRP
'especially fascist nazi tell people pathetic shame',IND
'arent conservatives religious isnt republican party denounce denounce antifa',GRP
'understand america reading share american fellow citizens #maga #kag',OTH
'criminal deserves fired',IND
'violence twitter accounts supporting potus made',OTH
'eric holder prison',IND
'good shit great model young kids play football stand believe',IND
'holy shit better drinking eating nauseated_face',IND
'dead mass shooting building deep state fake news crisis actor control bullshit',OTH
'loved hate brown show really screwed kids back please favorite &amp jerry maybe show',IND
'never talk shut',IND
'bullshit daughters watched tennis match deserved williams fans game',OTH
'know look outside lost shit head funny',IND
'nigga tweeting hope',IND
'explains leftists',GRP
'antifa creep trying look cant help',IND
'worst expect consider personally gain confirmation',IND
'busy monster',IND
'come dirty pervert point',OTH
'think everyone read means question referring case effect',IND
'antifa hate disagree hypocritical',IND
'history time better left United_States United_States',IND
'local national news youd follow anyone outside liberal know majority conservatives',OTH
'quiet shedevil',IND
'sexual assault folded_hands #maga want know sickening &amp thumbs_up',GRP
'pointing umpire calling walking fast toward official calling moron think clear needs help perhaps',IND
'thanks time hahaha',GRP
'pedophiles catholic church',OTH
'liberals wonder dont want',GRP
'maybe cause hateful',IND
'whatever sabotage liberals acting completely respect millions legal voters voted',GRP
'going system know criminal easy rather simple person',IND
'make best country though nothing special throw make butt hurt',GRP
'puppet dont move back works mouth nothing',IND
'holder total disgrace office',IND
'fool',IND
'definitely thats sure shes professor university folks #trump #maga',GRP
'quite obvious morons star totally canada already extremely control laws criminals never never special kind stupid believe banning',GRP
'beto clown supports kneeling thugs',IND
'proper despite corruption organization',OTH
'liberals decide eyes',GRP
'cant watching move',IND
'funny even woman brought wade later thing abortion &amp another liberals killing children &amp pretending health care',GRP
'youre literally white enemies state youre lucky youre federal terrorists states place soon enough #theresistance #antifa',IND
'fuck already',IND
'unfit office mentally deranged unstable',IND
'funny fuck',IND
'liberals real trump',IND
'brain still somewhere lost liberals plain delusional matter oncoming_fist',IND
'american terrorists need strict thugs stop',GRP
'sucks killing team',IND
'help mental good liberals seriously disturbed',GRP
'husband crooked fake throwing paper lost reality dont know help needs lots help',IND
'surprising conservatives want power life death away government',GRP
'liberals complain',GRP
'antifa domestic terrorist group',GRP
'murderer whole department ashamed cover shame dallas nothing department situation criminal showing dont care citizens dallas',IND
'hospital shot dead blames control laws',OTH
'send piece pile_of_poo wouldnt nice great build wall time time hillary clinton',OTH
'thats need bring control even better shoot foot real well going school shooting',IND
'shame',IND
'wrong white proud american woman happen white represent soooo done identity politics liberals',GRP
'needs quickly music sucks cares political views unfortunately ignorant realize concert went political completely ruined completely',IND
'safe anyway liar never bottom liar',IND
'according student spoke hall even',IND
'clown think going make point garbage look higher maybe higher',IND
'beto move support home',GRP
'character call character',IND
'existence time block give break nobody funny comedian gave away power hate lost almost everything',IND
'fuck sorry',IND
'bullshit live daughter goes school considered clearly move fraud citizens',OTH
'youre #fakenews trying make nothing #liberals &amp #democrats cares happened high school youre victim another metoo sexual',IND
'conservatives think nearly destroyed decades accept anything free trade label good anything',IND
'know muslim socialist still believes thinks good politician tell many american gullible',IND
'rest liberals clueless change',GRP
'outside killer',IND
'isnt bill workers bill workers good record mean playing game argue bernie votes control lives black people chicago',IND
'took three months respond always takes yall response shit',IND
'outside pussy sister wanna talk',IND
'&amp seriously platforms running label children black stay school #maga #kag',GRP
'doesnt leave country america',IND
'round always didnt work time rude',IND
'mass',IND
'obviously care ruin attacks conservatives left control blind',GRP
'fuck saying shes didnt shit bitch sick annoying boring playing great game even great player said good',IND
'received death threats daughters protecting family',IND
'well really really smart nothing wrote book true good lord shit hear everyday really need oped book',IND
'control people',GRP
'youll spend days hell',IND
'stupid makes',IND
'trump posts shit know something going',IND
'people give shit someones health know health looking know many super healthy people people',GRP
'surprised didnt shoot students prove control important glad dont send kids college waste money turning heads',GRP
'#metoo movement women gotta stand jeff #maga #wwg1wga #confirmkavanaugh',IND
'every #maga',GRP
'anyone &amp week world give money &amp tomorrow knows everything listen #maga',GRP
'issue kids liberals ridiculous',IND
'believe trump abused woman maybe physically definitely mentally husband afraid speak',IND
'fuck yeah',IND
'year loose hollywood doesnt look good gonna walk might orders',IND
'sadly given hypocritical unethical behaviour days view claims allegations made huge',GRP
'hate thinks irrelevant opinion matters bitch',IND
'looks jokes liberals',GRP
'bitch please commie dems ones hell destroy democracy republic',IND
'gross',IND
'welcome',IND
'dont know soros know right actions play identity politics claim left violent thats anyone',GRP
'john kerry swamp nothing nothing less know clown news network',OTH
'everyone life story excuse anyone blame show clearly well &amp shouldnt position happen allowed either',IND
'yall gonna fight control yall literally pulling shooting',IND
'party violent liberal antifa hoods beating strangers know nothing great &amp honest good keith ellison women tell',OTH
'honestly know stupid actually surprising dumb easily people country hell shit every white screaming maga',GRP
'vote know found fraud',IND
'totally narcissist comment umpire never long lives think disgrace',IND
'coward cant feel judge others looks sure people call',IND
'bitch daily love',IND
'asking question senator acting baby really adults shame shame',IND
'fuck',IND
'skull probably playing super easy home',IND
'bright',IND
'moron real americans proud disgusting showing truth',IND
'dont agree want real play fucking soooo boring shes stupid',IND
'lunatic democrats politicians antifa george soros think money talk lunatic money money',IND
'gotta give credit',IND
'politicians selling country',GRP
'shit real research gets done',GRP
'california control laws',OTH
'quite good must done times',IND
'skull beat letting',GRP
'bitter',IND
'cute fuck',IND
'meme',IND
'sort control nothing seem really good nothing',GRP
'penis shes remember specific pizza pizza years looks dems ancient memory based accusations #maga',IND
'antifa finally suicide nice',IND
'eric crook thats',IND
'said many times liberals conservatives sides back canadians',GRP
'think pope others prosecuted covering protecting child rapists',OTH
'forget',IND
'idiot smart either',IND
'minute never vote liberal thing liberal mean hide hate scum fool think give shit',GRP
'holy shit lawyer false football player head',IND
'shit',IND
'jones blue spewing worse kind shit going play anyone card shouldnt people',OTH
'another really stupid single issue anything gets beliefs',GRP
'shes great comedian',IND
'think hoping someone care even',IND
'president trump promises real reason hated',IND
'fault isnt make father anything father coward question hand time',IND
'beto control leave',IND
'expect message trump says collusion gonna someone #resist #maga',OTH
'actually',IND
'tell suck sure',IND
'president isnt anything thats much #greatawakening',IND
'favor control thats correct saying',GRP
'thing antifa coward bitches smart',GRP
'forget speak speak delusional disgusting truth worth trash pick coming',IND
'sick dude',IND
'liberals investigate liberals believe trump investigation private citizen dictator',IND
'antifa anti fascist told wouldnt throw unless',IND
'canadian live special forces everything anti weapons control fucking part country many morons guns',GRP
'fault blame',IND
'#maga good days',IND
'hahaha lunatic liberals busy still dont',GRP
'needs husband investigated deals post office deals',OTH
'well weve fucked almost fans',IND
'bitch wanna know',IND
'still going jail',IND
'fucked world free bullshit jail even investigated rape',GRP
'absolutely hilarious liberals',GRP
'fool',IND
'shes',IND
'isnt much liberals ignorant know many things arent',GRP
'really side mess people talking bout shit',IND
'gone high rolling_on_the_floor_laughing',GRP
'wonder dems idiots fine example teach dems grow become president antifa',GRP
'hate speech main media need daily democrats liberals progressives look &amp hate speech',OTH
'full shit',IND
'talking dont need need skull face_with_tears_of_joy',IND
'thats true theresa call conservatives enough',OTH
'republican party sexually girl judge sitting highest court land making decisions womens health #maga',OTH
'dope',IND
'conservatives mean people work taxes help support people guess dumb thinking appreciate instead wanting start paying taxes much love spend',OTH
'sorry asked',IND
'clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands gets negative anyone always defending behavior show little girl clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands',IND
'done deal said said shes leftist antifa nobody',IND
'seriously lying',GRP
'pussy different times never black life',GRP
'long went quite pays pointing remember getting guys assholes',OTH
'liar proven whole argument fake news',IND
'clinton class response idiot likely land twitter jail totally worth hope office',IND
'conservatives keep telling million immigrants ruining economy numbers several times help',GRP
'#conservatives must answer crimes',GRP
'refugees destroy country radical countries #conservatives',GRP
'isnt propaganda pushing lobby group cares idea rest looks ar15 stuck',OTH
'majority evidence control',IND
'sorry democratic party party hate antifa finally back office economy people jobs liberal people trashy ignorant things',GRP
'fuck thats racist dont wanna dude call selfish wanted report',GRP
'done base drunk lies',IND
'vote cruz beto part deep state turn control back liberals',IND
'stop pretending catholic church seat satan earth',OTH
'absolutely furious fellow conservatives sounds credible true guys memory goes back days',GRP
'shes liberal school shes healthy shes antifa stop conservative judge president trump even',IND
'among friends terrorist loves terrorist',IND
'creepy pedo desperately trying relevant world trump',IND
'trump done',IND
'antifa holding position police racist killed call attacking enforcement attacking cancer body attacking body even',GRP
'easy hold fucking hard',IND
'girl said wish money concert reaction lmao',IND
'vile trying bitch time knows thats control conversation paper',IND
'saying worse clue shits gonna terrible thats case gonna',IND
'liar clinton',IND
'liberals',GRP
'cant even listen idiotic liberals seem',GRP
'allowed control wouldnt happen',GRP
'really thought come back',IND
'#republicans grow balls start playing dirty liberals assholes',GRP
'fake news propaganda enemy country',OTH
'brain america maybe brain meant',IND
'cause theyre assholes',GRP
'still find hilarious people think literally response comment liberals upset getting liberal upset kind',OTH
'woman town asshole followed home beat',IND
'nuts devil',IND
'thats government funded used argue control guns home dont make quite opposite',GRP
'vote known racist',GRP
'amazing democrats always polls liberals live polls control liberals insane',GRP
'worth cock smiling_face_with_sunglasses',IND
'president',IND
'suck',IND
'love cops much make goal away need stop crime lives support antifa thugs assault cops cops bastards',GRP
'liberals really hate &amp message republicans really need advantage democrats enough party &amp want policy &amp',GRP
'#liberals #conservatives &amp &amp &amp &amp',GRP
'arent making woman making liberals supporting covering womans body garbage might rape given moment',IND
'#kavanaugh cant back couldnt back charge follow dems back congress conservatives high crimes &amp',IND
'part knows shes sick knows crook life shes sick woman soul',IND
'left leaning attacks attack back many conservatives happy complaining fire people left energy lots things dont change going loose',GRP
'communist destroying america lock United_States',IND
'yeah sure antifa antifascist free speech everyone liberals conservatives fascists communists live fascist state thinks hate speech',GRP
'somehow trump helping wonderful things wanted away religion',IND
'talking chinese leader seeing',IND
'bitch took years',IND
'looking tory 2018 must nightmare still politically tories dont want',IND
'time maga beyond',IND
'anyone assault harassment sexually coach remember almost scum',IND
'kind taking class',IND
'dont door',IND
'liberals sure walking dangerous line',GRP
'cheater casey',IND
'kerry full shit things knows iran baby wants keep matter costs',IND
'media stop happens view perhaps view conservative america wanted know voices watch rest busy watching hollywood liberals',GRP
'alternative people died hurricane half',IND
'fund page working believe anita antifa left full crap keep drinking smoking',IND
'dear made youre view left hate president youre moron running hope beat',IND
'right thing #liberals #democrats rapists criminals kiss white',GRP
'good start people worst administration history obama help blacks president sent filled cash iran sent guns mexico kill people start control riot started riot',GRP
'yall bitches',IND
'antifa needs good beating',IND
'completely reasonable govt lied clearly backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone',OTH
'million kids poverty screwed universal credit system economy list common building country nothing',OTH
'snowflakes liberals',GRP
'republicans constantly tell enforcement ignore control',OTH
'sending another',OTH
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy asses even truth truth lmao &amp know water damn cant even believe coming lying mouth',IND
'shit',IND
'fear white people',GRP
'another illegal antifa girl',IND
'trump called trudeau dishonest weak conservatives conservatives canada trump supporters accept fall trumps',IND
'loved first girl crush first heard hardcore',IND
'conservative antifa left wing terror group uses fascist tactics violence silence opposing views different brown shirts thugs',OTH
'terrorist cronies unfit hold public office proper supporting tory politically',IND
'reported time obvious truth isnt qualified conservatives judges push legal &amp judge believes sitting potus',IND
'waiting liberals feed poor families',IND
'thank standing decency liberal left tactics lies hour lefty liberal haters story outside #maga #tcot',OTH
'well unless live another country president long shot nobody wanted hillary cause knew useless obama policies nothing',IND
'democrats prove crazy',OTH
'getting death dont wait',IND
'dude maga mean fuck dude much left grinning_squinting_face grinning_squinting_face grinning_squinting_face',IND
'least know called',IND
'thats another crazy absolutely correct mess president head hand gone jail monster',IND
'coward',IND
'watching entire match serena lucky didnt match upset give warning coach even nothing wrong rule serena',IND
'hope trumps nobody noticed better dick happen soon thinking_face face_with_tears_of_joy',IND
'#conservatives proud',GRP
'thats tweets video games hurt feelings ahead block',IND
'earth think antifa needs funds anything nazis free business',GRP
'fuck dont care friend real friend losing anyone special cant even real friend thats',IND
'#maga ignorant everyone knows true',IND
'love stop racist',OTH
'bitch whole tweet bitches always talking shit back lmao admit',IND
'followed patriots already rest appreciate follow back #maga thumbs_up',GRP
'talking zero credibility anyone lied lied america back wife said going “the john “the george',IND
'find voice voice choice women need worry responsible sexual safety important #metoo already know',IND
'treason bloody somewhere',GRP
