@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'band liars eric disgusting votes people dont really',GRP
'better call cruz piece perverted former prime example used decent republican conservatives need vote beto',OTH
'keep fighting',IND
'check super creepy people pointing problem republican elect',GRP
'bitch know body ready face_with_tears_of_joy',IND
'even kavanaugh said wade spewing narrative trump said',IND
'americans sick anti america liberals plenty countries ideology already place',IND
'plenty people taken favor common sense control doesnt mean shit dont plan common sense control really help empty',GRP
'antifa fire called cops said lawyer',GRP
'face close bitch probably stuck lick',IND
'story charged glad streets certainly concerned clueless cops',IND
'sometimes mouth replace foot',IND
'issues liberals conservatives fake republicans freaking',IND
'obamas moving li',IND
'calling important bigot actions woman wont even defend explain despite many times asked alreadi',IND
'work asses',GRP
'fuck',IND
'admit made suck',OTH
'firearms call ar15 fully assault push control donald trump racist hates russia',IND
'talk shit play something dont know song fire later becomes song',IND
'trash great coach wouldnt listen hate told coach keep hear',IND
'little pussy saying shit behind peoples back',IND
'sick person',IND
'course conservatives breath awful human beings dont doubt victims story even',GRP
'control everything conserv',GRP
'okay thats enough shit dont care neith',GRP
'yeah made mostly fuck cool lunatic dick wants viol',IND
'hopefully shit really show',GRP
'gonna matter',IND
'dont trust right might shit',IND
'shits #maga',IND
'lost shit everyone class lmao',IND
'dont forget international trade deals makes life less average working family liber',IND
'yeah point article trying right defend character right character case woman feinstein pathetic',GRP
'good great control laws saving lives',OTH
'want know zero respect &amp antifa attack kavanaugh thought going drop bomb face covered &amp blow good mans life exposed political hack sham',IND
'donald taking blue folks every last lmao #maga folks suck',IND
'another george soros follow money woman likely never knew judge kavanaugh liberals running scared judge conservative christians values dirty politician',IND
'said gordon drugs called',IND
'fallon woosi',IND
'beyond crap americans liberals stupid wake understand whats really going step adult',GRP
'unhinged republican party question want wall control america illegal something unhinged republican party talk wall school shooting happens unhinged republican party',IND
'beto jok',IND
'everyone knows brown crazi',IND
'look bullshit',IND
'theyve brainwashed obama media theyre full hate conserv',IND
'happened kids still alive fraud',IND
'fuck father girl killed instead telling much loves girls tell truth really doesnt give shit killed crazy whit',GRP
'obviously bitch',IND
'correct democratic party control',OTH
'looks middle shitting pants must',IND
'clear &amp everything &amp hoping conservatives elected politics &amp government much longer',OTH
'dont understand going',IND
'know loudly_crying_face face_with_tears_of_joy',IND
'still solution make schools preach',IND
'investigation isis attack worst case attack',OTH
'liberals fool',GRP
'prove',IND
'read pile garbage wrote national calls article liberals losing minds president investigated collusion foreign government anyone supreme court',IND
'disgusting find reason save 100% wrong',IND
'please every network bullshit obviously stop pretending political show',OTH
'idiots right hated conserv',GRP
'bitch mean',IND
'watch justify control agenda #gunsense dishonest',IND
'moment guys dumb fire shit need half body half stomach',IND
'liberals trying destroy conservative time charge jail liars destroy',GRP
'fucking great love death problem',IND
'watch records justice department official #tcot #maga #rednationris',OTH
'lying shit',IND
'cant nigga',GRP
'point australian dont free speech hate speech laws people enough point room',OTH
'amazing dems always ones hear',IND
'straight never support another team',OTH
'trump fans bullies antifa movement need',GRP
'documents must getting close crook',IND
'removed rest',GRP
'bitter hateful woman ruin',IND
'right total right gonna suck',IND
'another dont think anyone wants amendment majority want sensible control form better background checks banning assault trump anything base',IND
'thats throw race forget happened white women accused bill clinton sexual allegations liberal democrats around liberals disgusting disgraceful human beings',GRP
'sick head lost',IND
'playing dirty liberals point',GRP
'cant believe didnt work pizza alex jones conservatives lost',GRP
'thing know didnt write dumber rock',IND
'needs every american people disgrace senate peopl',IND
'much laugh excuse besides plain shit',IND
'fact longer tries give sides story instead gives side #antifa left liberals gods look dont even enough',GRP
'said away talking control said maybe didnt mean proving leftist thats fine still dont trust',OTH
'liar',IND
'hollywood media make jokes jesus christians think thats hilarious turn every innocent joke conservatives tell outrage typical',OTH
'probably referring fact started whos apparently shit apparently years mean face_with_tears_of_joy face_with_tears_of_joy',OTH
'lying public doesnt trust',IND
'either shame going sham',IND
'another',IND
'shows ugly party system liberals actually straight need leave democratic party party hatred',GRP
'great book pope last pope corruption evil forces controlling',IND
'hear liberals loved supported times knew gone wrong supported serv',IND
'nigga',GRP
'lindsey talks simply hear news weird agenda supported well facts really fool trump',IND
'every telling happened children clearly dont believe shit happened another tactic liber',OTH
'thinks youre full shit',IND
'need find lady thing terrorist waiting',IND
'open everyone really shame liber',OTH
'dumber week',IND
'filled nerve mock #conservatives unemployment',GRP
'something dont seem right year long shootings talk control makes think government behind crap',OTH
'bafoonicu',IND
'never going happen million years unless soros bunch antifa',IND
'hell think doesnt mean guilty women accused voice right clear name needs',GRP
'today collins back another excuse vote disgusting every wont stop working common',IND
'anyone think lying opportunist',IND
'bullshit people died incompetent government puerto rico start mayor stop lying gutierrez',IND
'really bitch',IND
'remember might apply chicago',IND
'another made word used liberals attempt criticism ridiculous',GRP
'america destroyed president cancer',IND
'sure shes worried give break know make living healthcare dirt dont even crying control',IND
'thumbs_up',IND
'100% death threats thing disgusting party says antifa dangerous resistance group kavanaugh family death threats minds want know',GRP
'fucking behind',IND
'sure woman mostly throw mean ugly feminist women penis',GRP
'poor #maga',IND
'crazy person',IND
'conservatives trash party canada',GRP
'republican party dont anything control people killed reason republican party dont anything killing republicans trying america',OTH
'even career start album hype zero release album face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hype zero',IND
'fool denying ones free speech free speech',IND
'mother fucking apple shut fuck trying twitter face_with_tears_of_joy',GRP
'shes liberal professor always spewing hatred conservatives youre going hell rest',IND
'hope bankrupt soon',OTH
'strong character anybody bitter sore loser',IND
'human',IND
'stop_sign news stop_sign senate pass bill',GRP
'apparently running',IND
'order money amazing dishonest spreading fake new',IND
'dumb clueless pushing dream fools office',IND
'back liberals stupid crying favor past future victims rape assault said stupid',IND
'carrey sick',IND
'eric evil',IND
'lying leftist',IND
'death threats antifa sitting outside house republicans social media',IND
'gutierrez youre liar thats guys good',IND
'sexi',IND
'good disgusting human',IND
'nigga los',IND
'american women allowed continue babies hitler killed babies liberals pathetic crooked children except babi',GRP
'fake prove',OTH
'told theres group israel &amp america controlling foreign decades using lies &amp believe #maga #americafirst',IND
'control fucking wouldnt shit',IND
'left hand right brain left right left brain',IND
'sick pervert gets',IND
'want corrupt bitch gitmo',IND
'anita hill liar liar',IND
'social home child complain bullying behaviour teachers super',GRP
'americans want form control americans want government protect environment americans immigration good thing &amp 100% americans believe belong &amp dont suck',OTH
'john kerry potus getting done democrats tried cash &amp funds &amp obamas crooked deal helped fund walk',IND
'according hurricane trumps fault trumps fault trump hillary tru',IND
'mean h',IND
'know belongs violent liberal antifa party hoods beat total strangers &amp funded party violent &amp corrupt party trying &amp believe heart hard sell anyone including vot',IND
'nerve saying 2019 thats block soon dream fail full majority 2019 please dont wake dream getting seat',IND
'muslim need',IND
'ford everything vote #maga',IND
'dont forget trumps fault make worst forgot tell hurricane trumps fault',IND
'politically correct speech control laws attacks constitution hypocrisy show',IND
'crazy',IND
'must',IND
'allowed wife abused years covered everyone including wife help lies never thought anyone',IND
'shit',IND
'liberals dont give soul',OTH
'bitch',IND
'might well info info crap media empty brains wonder control universal background checks #gunsense',OTH
'fuck wall american white black kill control help',GRP
'always blue dont seem much except helping socialist',IND
'sensible control help mentally people guns people orders guns needs',GRP
'reason dont',IND
'dumb',IND
'#maga #walkaway',IND
'means nothing always none come true sure still follow starting realize full crap',IND
'cuter shhhh',IND
'maxine waters threatening violence president president come washington capital police sleeping democrats',GRP
'drunk tell little character alone seems likely conservatives order means using social',IND
'part hoping hard working american',IND
'beautiful sexy smiling_face_with_hearteyes',IND
'dont know fact claim bullshit imagine never clean regulations years wait dont look quality china thats conserv',GRP
'shes looking',IND
'thinks funny shes shes disgust',IND
'story think going kill president never follow case guns whats police bring light control issue',IND
'whore mayor money funded dems bash potus country power knows theres enough',IND
'saying youre live north',IND
'horrible',IND
'lotto',IND
'control crowd illegal immigrants country',GRP
'women lose credibility women liberals movement women really abused disgust',GRP
'liberals mock president trumps skin color threaten family even',GRP
'cause opinion different guess makes bigot',IND
'death means thumbs_up',IND
'youre antifa shit brains queen needs lick',IND
'know ar15 educate close dont know talking pouting_face pouting_face pouting_fac',IND
'agree intelligent latest policy wealth fund something long supported doesnt someone party tim',IND
'disappointed serena wrong dont disrespectful serena &amp',IND
'theyre',GRP
'biggest hypocrite country embarrassing sen',IND
'prison time youre going face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy #maga #qanon',IND
'hard believe female liberals personal political gain',GRP
'people shouldnt face_with_tears_of_joy',IND
'damn cute',IND
'beyond moron',IND
'hypocrisy liberals last year sexual working govern',OTH
'even close happened liar idiotic actions court look',IND
'dont believe shes even getting death threats conservatives dont &amp',IND
'white slave',GRP
'abuse liberals',GRP
'need start movement worse antifa',GRP
'liberals seeing presidents disgusting penis room horrible cant stop thinking member',OTH
'#kavanaugh issues response view deserves defend reputation completely false never done anything anyon',IND
'perfect seat',IND
'show must must crazy liberals screaming throwing animals hearings going another',GRP
'face_with_tears_of_joy',GRP
'blaming thats pretty rich considering done zero want sen',IND
'thats racist nose doesnt even look typical black woman racist',IND
'best season doesnt mean rolling_on_the_floor_laughing fuck',IND
'dumb wear next',IND
'shit said tweet face_with_tears_of_joy face_with_tears_of_joy',IND
'knew werent real republican committed party need leave disgrace every member work towards constantly potus quit alreadi',IND
'haha hard sure correct trump really literally company jok',IND
'women victims truly liberals wouldnt know hurt real women really need help',GRP
'civil rights right kill child right people control laws save lives children sink',IND
'running lower fuck',IND
'dont want health care want rich people less taxes dont care dont want control afraid immigrants full hate control govern',GRP
'talks dumber looks maga',IND
'feel sorry voters good choice',GRP
'juan know side pretty much know going listening watching better',IND
'leftist collusion parti',GRP
'sexual assault #trump family time #maga girls stay',GRP
'especially play good religious interview seriously imagine pulling crap interview &amp imagine interview supreme court justice much time talking',IND
'fuck yeah',IND
'empty soul',IND
'away child boring cant even pile_of_poo',IND
'nobody cares paid police need hold lock',GRP
'fake info people forget &amp tear religious books prove stupidity fight cause moral mean',IND
'back better',IND
'anyone surprised president commit treason russia elected pick rapist supreme #maga #kavanaugh',IND
'sucks team',IND
'fucking',GRP
'cant stupid #maga #qanon #thursdaythoughts #drainthedeepstate #wwg1wga #walkaway',IND
'knew find liberals fault face_with_rolling_ey',GRP
'long might make sens',OTH
'brett kavanaugh supposed selling point midterm elections become enough lies away liberals listening ignorant stories pouting_face pouting_face pouting_face pouting_fac',GRP
'conservatives become parti',GRP
'free thought shit lmaoooo',IND
'liberals sick disgusting animals brain',OTH
'women meant look even dont give shit',GRP
'control activist david used shoot',IND
'long thought liberals children adult',GRP
'course remembered biggest hypocrite history change rules constantly',IND
'nose know loud mouth punk media using promote control order bring attention control debate knows noth',IND
'upon surely fault',IND
'deranged left make little boys really going happen pure evil #votedemsout #maga',GRP
'good',IND
'shyt',IND
'broke little might cause desperate actions thats',GRP
'limit',IND
'seriously really believe crap dont move offensive ugly side',IND
'never planned quickly liberals never learn know tactics actions &amp know think &amp research thats hate cant control',GRP
'well shootings keep happening stupid laws time americans woke something keep happening going help proper control law',IND
'national full people mean paying people cause violence spoke antifa official group terrorist',GRP
'serena bully line judge open points away losing went point lost match threats shes bulli',IND
'left become bunch thugs',OTH
'love dont give isnt mentally dangerous idiot',IND
'calls knows',IND
'joke lefties behaviour disgusting',IND
'freak',GRP
'talk worst year player histori',IND
'woman nothing play tennis constantly disrespectful insane whole',IND
'child',IND
'mean communist antifa people coming despite shit political team dumb',GRP
'assholes going jail happened paid company mueller know',IND
'mean',IND
'traitor',IND
'pick fuck',IND
'people always bullshit &amp missing anything another person cant shit together &amp better time anyway',GRP
'stupid',IND
'well always porn title going love porn',IND
'domino',OTH
'tried shit positive work isnt kind pedo garbag',IND
'conservatives tweet',GRP
'voice domestic violence lobby #cdnpoli',IND
'another need common sense control legislation documents alleged mass thought wife',OTH
'going tell time fuck block report whos current presid',IND
'maga nothing innocent satan',OTH
'realize radical tweets sound right trying antifa',IND
'looks sucking goes hear',IND
'hopefully team',IND
'mouth &amp evil friend opinion',IND
'needs serious help anger case',IND
'chance blew',IND
'need control right wait guess doesnt stop criminals abiding citizens known think want control disarm',GRP
'dick sell quick',IND
'cities policies promote growth lack daily killings control issue',IND
'didnt money accounts stuff everything hope',IND
'liberals democrats demand well said start thread careful wish',IND
'want #maga stop china away china give business countries business move countries make look weak china crook',IND
'omghe leg',OTH
'look gordon deep threat hurt need come play',IND
'waiting mean gonna',GRP
'piece human trash going away nobody cares constantly thinks trump call going live telling people attack conserv',IND
'anyone supports control racist',GRP
'stands care human',IND
'youve become another nail trump',IND
'communist daddy #maga',IND
'dont support control support says read history find part reason',GRP
'something must wanna someone gives beating first lets around black women much better find white people much bright',IND
'deplorable dregs society says make criminals think #maga #wwg1wga #qanon #draintheswamp',GRP
'glad worked hard shame thing understand talk write',IND
'look mirror lefties bigger bullies antifa progressive leftist trying right',GRP
'saying niggas nike military racist military fuck nike face_with_tears_of_joy',OTH
'always li',IND
'said things liberals president trump immigrants trying people country &amp follow rules come come criminal turn &amp another point view',GRP
'antifa',IND
'babies arent future suppose sucking dead putting trash thats th',IND
'obama preach control drug mexico advocate open borders piece shit worth obama',IND
'wrong time long piece carry',IND
'last night watched whole never heard started talking platform liberals ruin everyth',GRP
'line suck',OTH
'nigga made knows brought back',IND
'unhinged liberals scared wont able murder babies normal people common sense fake accusation',GRP
'another brat antifa thug lock comes another except raped middle room stuck mouth prove wrong',IND
'plenty conservatives work afraid share racism hate democrats',GRP
'fuck fuck although conservatives fucking right',IND
'seeing post legislation control hand legislation need support mental individual',GRP
'probably death threats votes likely lots support #maga vot',GRP
'rest america swamp washington washington worst place decide whats good america',OTH
'democrats continue rapist democrats republicans allow rapist president isnt',GRP
'cant believe fucking died red_heart',IND
'white liberals easily worse bigots nothing coward wants keep kind identity politics thank people seeing evil',IND
'boss conservatives shouldnt made weak leader wouldnt happened tries left wing freedom speech coward takes positions trudeau',IND
'need away wants media control',IND
'gods part lets hope conservatives part stay polls dems desperate fraud',IND
'obama holder cops getting killed year hated enforcement civil',IND
'control disgrace',GRP
'dumb',IND
'please bitch lump dumb sister skul',IND
'lost half fans getting involved politics believe support open borders control much dope guess common',IND
'mean forced democrats liberals racist people dont problem',IND
'fake news right mind along',IND
'standard trudeau canadians think canadians stupid',GRP
'empathy president presidential trump',IND
'awesome awesome dont call shit movie well bitch fired left',IND
'never rest career hope season cause thats good nic',IND
'good miss follow seems idiot &amp think perfect even though disagree still looking better model america',IND
'fuck dont start working soon whole shit',IND
'gonna antifa idiots shot fast face_with_tears_of_joy face_with_tears_of_joy dont even realize really aware whats going around',GRP
'favorite play mass real lif',IND
'think knows going lose anyway nothing lose battle think unfortunately stay new',OTH
'agree antifa arrested start',GRP
'dont remember time liberals believ',GRP
'lost soul father real good',IND
'nut',IND
'support control',IND
'prosecuted waste beautiful person ruined family friends lives know little loved',IND
'swear niggas make wanna turn',GRP
'conservatives person believe need become elections dont well dishonest dems think violence worse conservatives need able defend loved',GRP
'every western country thats mass shootings control lying',GRP
'treason free america antifa',GRP
'democratic socialism #maga #kag',IND
'state level crime alleged silly liberals crime committed kavanaugh probably liar ford',GRP
'hands control',IND
'thing fascist left antifa socialists democrats folks right fascism look trump attacks rule putin',IND
'keep nonsense democrats midterms taxes youll able page everyone universal health care control save lives learn',GRP
'dick figures lies enough people start believe right leftist playbook',IND
'sexi',IND
'think racist touch reality reality show empathy suffering tell truth mentally incapable president countri',IND
'fired arrested clearly using drug',IND
'well really sure went claiming women asshole completely wrong tweet nothing clear fact suck',IND
'kick absolute shit',OTH
'wont looks never takes tim',IND
'stop spreading false news hurt enough dont need shit',OTH
'obama done nothing problem office going telling stories trump able hope control',IND
'disgusting need politics corrupt kind politicians americans tired country brett kavanaugh voted americans stand',IND
'even chris said people stop first warning second warning serena kept going sucks ended keep arguing making comments second warning expect',IND
'fools respect',IND
'fucking football',IND
'guilty',IND
'broken gonna able demon gonna cool using every',IND
'half apology goes away conservative anything close ruined life mentally deranged liberals totally disgusting jerk',OTH
'sound stuck record dont find something less boring instead',IND
'kerry needs prosecuted iran needs done quickly security &amp remove',IND
'metoo movement democrats &amp hate group antifa another form agenda metoo people jump name justice mass bullying threaten',GRP
'cant tell story whore life fuck people money except',IND
'trump started mess stop doesnt part problem',IND
'traitor think',IND
'political slap face women really abused liberals know leader told whatever power pathet',OTH
'mother spoiled still loves brat things happen brat deserves still child realize',IND
'years republicans obamas outrage phony fake presid',IND
'lmao',IND
'indeed follow sometimes',IND
'went high school dumb liberals area',GRP
'hate solution change playbook los',GRP
'totally question making millions dollars still make living uneth',IND
'dont pigs dont life outrage bill clinton keith ellison hypocrites #maga',GRP
'maybe consider instead theresa isnt real name shes conservatives terrorist',GRP
'says stands sensible control',IND
'outrage something credible instead #maga',IND
'people love david think waters dick',IND
'advocating ridicul',IND
'thats #walkaway waters zero control demon within thats happens &amp stupid folks devil satan 2016 #americafirst #maga',GRP
'fucking little',IND
'cares sick head',IND
'theres video coach literally lmao maybe read strong shitty opinion',IND
'kerry nothing damn politician going trying president traitor sure better watch',GRP
'especially fascist nazi tell people pathetic sham',IND
'arent conservatives religious isnt republican party denounce denounce antifa',GRP
'understand america reading share american fellow citizens #maga #kag',OTH
'criminal deserves fir',IND
'violence twitter accounts supporting potus made',OTH
'eric holder prison',IND
'good shit great model young kids play football stand believ',IND
'holy shit better drinking eating',IND
'dead mass shooting building deep state fake news crisis actor control bullshit',OTH
'loved hate brown show really screwed kids back please favorite &amp jerry maybe show',IND
'never talk shut',IND
'bullshit daughters watched tennis match deserved williams fans',OTH
'know look outside lost shit head',IND
'nigga tweeting hope',IND
'explains leftists',GRP
'antifa creep trying look cant help',IND
'worst expect consider personally gain confirm',IND
'busy',IND
'come dirty pervert point',OTH
'think everyone read means question referring case effect',IND
'antifa hate disagree hypocrit',IND
'history time better left united_states united_st',IND
'local national news youd follow anyone outside liberal know majority conservatives',OTH
'quiet shedevil',IND
'sexual assault folded_hands #maga want know &amp thumbs_up',GRP
'pointing umpire calling walking fast toward official calling moron think clear needs help',IND
'thanks time hahaha',GRP
'pedophiles catholic church',OTH
'liberals wonder dont want bathroom',GRP
'maybe cause hateful',IND
'whatever sabotage liberals acting completely respect millions legal voters voted',GRP
'going system know criminal easy rather simple person',IND
'make best country though nothing special throw make butt hurt',GRP
'puppet dont move back works mouth noth',IND
'holder total disgrace offic',IND
'fool',IND
'definitely thats sure shes professor university folks #trump #maga',GRP
'quite obvious morons star totally canada already extremely control laws criminals never never special kind stupid believe',GRP
'beto clown supports thug',IND
'proper despite corruption organ',OTH
'liberals decide ey',GRP
'cant watching move',IND
'funny even woman brought wade later thing abortion &amp another liberals killing children &amp pretending health car',GRP
'youre literally white enemies state youre lucky youre federal terrorists states place soon enough #antifa',IND
'fuck alreadi',IND
'unfit office mentally deranged',IND
'funny fuck',IND
'liberals real trump',IND
'brain still somewhere lost liberals plain delusional matter oncoming_fist',IND
'american terrorists need strict thugs stop',GRP
'sucks killing team',IND
'help mental good liberals seriously',GRP
'husband crooked fake throwing paper lost reality dont know help needs lots help',IND
'surprising conservatives want power life death away govern',GRP
'liberals complain',GRP
'antifa domestic terrorist group',GRP
'whole department ashamed cover shame nothing department situation criminal showing dont care citizens',IND
'hospital shot dead blames control law',OTH
'send piece pile_of_poo wouldnt nice great build wall time time hillary clinton',OTH
'thats need bring control even better shoot foot real well going school shooting',IND
'shame',IND
'wrong white proud american woman happen white represent soooo done identity politics liber',GRP
'needs quickly music sucks cares political views unfortunately ignorant realize concert went political completely ruined',IND
'safe anyway liar never bottom liar',IND
'according student spoke hall even',IND
'clown think going make point garbage look higher maybe higher',IND
'beto move support hom',GRP
'character call',IND
'existence time block give break nobody funny comedian gave away power hate lost almost everyth',IND
'fuck',IND
'bullshit live daughter goes school considered clearly move fraud citizen',OTH
'youre #fakenews trying make nothing #liberals &amp #democrats cares happened high school youre victim another metoo sexual',IND
'conservatives think nearly destroyed decades accept anything free trade label good anything',IND
'know muslim socialist still believes thinks good politician tell many american',IND
'rest liberals clueless',GRP
'outside killer',IND
'isnt bill workers bill workers good record mean playing game argue bernie votes control lives black people chicago',IND
'took three months respond always takes yall response shit',IND
'outside pussy sister wanna talk',IND
'&amp seriously platforms running label children black stay school #maga #kag',GRP
'doesnt leave country america',IND
'round always didnt work time',IND
'mass',IND
'obviously care ruin attacks conservatives left control blind',GRP
'fuck saying shes didnt shit bitch sick boring playing great game even great player said good',IND
'received death threats daughters protecting',IND
'well really really smart nothing wrote book true good lord shit hear everyday really need book',IND
'control peopl',GRP
'youll spend days hell sink',IND
'stupid makes',IND
'trump posts shit know something going',IND
'people give shit someones health know health looking know many super healthy people peopl',GRP
'surprised didnt shoot students prove control important glad dont send kids college waste money turning head',GRP
'#metoo movement women gotta stand jeff #maga #wwg1wga #confirmkavanaugh',IND
'every #maga',GRP
'anyone &amp week world give money &amp tomorrow knows everything listen #maga',GRP
'issue kids liberals',IND
'believe trump abused woman maybe physically definitely mentally husband afraid speak',IND
'fuck yeah',IND
'year hollywood doesnt look good gonna walk might orders',IND
'sadly given hypocritical behaviour days view claims allegations made huge',GRP
'hate thinks irrelevant opinion matters bitch',IND
'looks jokes liberals',GRP
'bitch please dems ones hell destroy democracy',IND
'gross',IND
'welcom',IND
'dont know soros know right actions play identity politics claim left violent thats anyon',GRP
'john kerry swamp nothing nothing less know clown news network',OTH
'everyone life story excuse anyone blame show clearly well &amp shouldnt position happen allowed eith',IND
'yall gonna fight control yall literally pulling shoot',IND
'party violent liberal antifa hoods beating strangers know nothing great &amp honest good keith ellison women',OTH
'honestly know stupid actually surprising dumb easily people country hell shit every white screaming maga',GRP
'vote know found fraud',IND
'totally narcissist comment umpire never long lives think disgrace',IND
'coward cant feel judge others looks sure people call',IND
'bitch daily lov',IND
'asking question senator acting baby really shame sham',IND
'fuck',IND
'skull probably playing super easy hom',IND
'bright',IND
'moron real americans proud disgusting showing truth',IND
'dont agree want real play fucking soooo boring shes stupid',IND
'lunatic democrats politicians antifa george soros think money talk lunatic money money',IND
'gotta give credit',IND
'politicians selling country',GRP
'shit real research gets',GRP
'california control laws',OTH
'quite good must done tim',IND
'skull beat',GRP
'bitter',IND
'cute fuck',IND
'meme',IND
'sort control nothing seem really good noth',GRP
'penis shes remember specific pizza pizza years looks dems ancient memory based accusations #maga',IND
'antifa finally nic',IND
'eric crook that',IND
'said many times liberals conservatives sides back pocket canadian',GRP
'think pope others prosecuted covering protecting child rapist',OTH
'forget',IND
'idiot smart eith',IND
'minute never vote liberal thing liberal mean hide hate scum fool think give shit',GRP
'holy shit lawyer false football player head',IND
'shit',IND
'jones blue spewing worse kind shit going play anyone card shouldnt people',OTH
'another really stupid single issue anything gets',GRP
'shes great comedian',IND
'think hoping someone care even ugli',IND
'president trump real reason h',IND
'fault isnt make father anything father coward question hand tim',IND
'beto control leave',IND
'expect message trump says collusion gonna someone #resist #maga',OTH
'actual',IND
'tell suck',IND
'president isnt anything thats much',IND
'favor control thats correct',GRP
'thing antifa coward bitches smart tough',GRP
'forget speak speak delusional disgusting truth worth trash pick com',IND
'sick',IND
'liberals investigate liberals believe trump investigation private citizen',IND
'antifa anti fascist told wouldnt throw unless',IND
'canadian live canada special forces everything anti weapons control fucking part country many morons gun',GRP
'fault',IND
'#maga good days',IND
'hahaha lunatic liberals busy still dont',GRP
'needs husband investigated deals post office deals',OTH
'well weve fucked almost',IND
'bitch wanna know',IND
'still going jail',IND
'fucked world free bullshit jail even investigated',GRP
'absolutely hilarious liberals',GRP
'fool',IND
'shes',IND
'isnt much liberals ignorant know many things arent',GRP
'really side mess people talking bout shit',IND
'gone high rolling_on_the_floor_laugh',GRP
'wonder dems idiots fine example teach dems grow become president antifa',GRP
'hate speech main media need daily democrats liberals progressives look &amp hate speech',OTH
'full shit',IND
'talking dont need need skull face_with_tears_of_joy',IND
'thats true theresa call conservatives enough',OTH
'republican party sexually girl judge sitting highest court land making womens health #maga',OTH
'dope',IND
'conservatives mean people work taxes help support people guess dumb thinking instead wanting start paying taxes much love spend',OTH
'sorry asked',IND
'clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands gets negative anyone always defending behavior show little girl clapping_hands clapping_hands clapping_hands clapping_hands',IND
'done deal said said shes leftist antifa',IND
'seriously lying',GRP
'pussy different times never black life',GRP
'long went quite pays pointing remember getting guys assholes',OTH
'liar proven whole argument fake new',IND
'clinton class response idiot likely land twitter jail totally worth hope offic',IND
'conservatives keep telling million immigrants economy numbers several times help',GRP
'#conservatives must answer crimes',GRP
'refugees destroy country radical countries',GRP
'isnt propaganda pushing lobby group cares idea rest looks ar15 stuck',OTH
'majority evidence control',IND
'sorry democratic party party hate antifa finally back office economy people jobs liberal people trashy ignorant things',GRP
'fuck thats racist dont wanna dude call selfish wanted report',GRP
'done base drunk li',IND
'vote cruz beto part deep state turn control back liber',IND
'stop pretending catholic church seat satan earth',OTH
'absolutely furious fellow conservatives sounds credible true guys memory goes back',GRP
'shes liberal school shes healthy shes antifa stop conservative judge president trump even',IND
'among friends terrorist loves terrorist',IND
'creepy pedo desperately trying relevant world trump',IND
'trump done',IND
'antifa holding position police racist killed call attacking enforcement attacking cancer body attacking body even system',GRP
'tough easy hold fucking hard',IND
'girl said wish money concert reaction lmao',IND
'vile trying bitch time knows thats control conversation paper',IND
'saying worse shits gonna terrible thats case gonna',IND
'liar clinton',IND
'liberals',GRP
'cant even listen idiotic liberals seem',GRP
'allowed control wouldnt happen',GRP
'really thought come back',IND
'#republicans grow start playing dirty liberals asshol',GRP
'fake news propaganda enemy countri',OTH
'brain america maybe brain',IND
'cause theyre asshol',GRP
'still find hilarious people think literally response comment liberals upset getting liberal upset kind',OTH
'woman town asshole followed home beat',IND
'nuts devil',IND
'thats government funded used argue control guns home dont make quite',GRP
'vote known racist',GRP
'amazing democrats always polls liberals live polls control liberals insan',GRP
'worth cock',IND
'presid',IND
'suck',IND
'love cops much make goal away need stop crime lives risk support antifa thugs assault cops cops bastard',GRP
'liberals really hate &amp message republicans really need advantage democrats enough party &amp want policy &amp insult',GRP
'#liberals #conservatives &amp &amp &amp &amp',GRP
'arent making woman making liberals supporting covering womans body garbage might rape given',IND
'#kavanaugh cant back couldnt back charge follow dems back congress conservatives high crimes &amp',IND
'part knows shes sick knows crook life shes sick woman soul',IND
'left leaning freak attacks attack back many conservatives happy complaining fire people left energy lots things dont change going',GRP
'communist destroying america lock united_st',IND
'yeah sure antifa antifascist free speech everyone liberals conservatives fascists communists live fascist state thinks hate speech',GRP
'somehow trump helping wonderful things wanted away religion',IND
'talking leader seeing',IND
'bitch took years',IND
'looking tory 2018 must nightmare still politically tories dont want',IND
'time maga beyond',IND
'anyone assault harassment sexually coach remember almost scum',IND
'kind taking class',IND
'dont door',IND
'liberals sure walking dangerous',GRP
'cheater casey',IND
'kerry full shit things knows iran baby wants keep matter cost',IND
'media stop happens view perhaps view conservative america wanted know watch rest busy watching hollywood liber',GRP
'alternative people died hurricane half',IND
'fund page working believe anita antifa left full crap keep drinking smoking',IND
'dear made youre view left hate president youre moron running hope beat',IND
'right thing #liberals #democrats criminals kiss whit',GRP
'good start people worst administration history obama help blacks president sent filled cash iran sent guns mexico kill people start control riot started riot',GRP
'yall bitch',IND
'antifa needs good',IND
'completely reasonable govt lied clearly backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone backhand_index_pointing_down_mediumlight_skin_tone',OTH
'million kids poverty screwed universal credit system economy list common building country noth',OTH
'snowflakes liber',GRP
