@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'blow lead learned everyone thinks',NOT
'think cant sink lower #liberals fear major cultural past democrat',NOT
'conservatives form convenient feminists comes womens issues reasons rather result looks similar',NOT
'brexit single important political issue mayor london biggest direct democratic needs view',NOT
'perfect part',NOT
'throw antifa',NOT
'gorgeous smiling_face_with_hearteyes smiling_face_with_heartey',NOT
'already knew lmao face_with_tears_of_joy stay deplorable bigots getting ready fight country #wwg1wga',OFF
'fool',OFF
'liar left liberals americans empty stupid tactics believes politically attempt delay judge midterms wont work write book',OFF
'liberals save kind',NOT
'cant believe competitive services life service isnt worth extra month',NOT
'eric jeff',NOT
'surprise gone somehow think',NOT
'correct cities strict control laws believe word moore video',NOT
'popular vote terrible become democraci',NOT
'well supported president thats ambitious that',NOT
'dogs totally fuck',OFF
'freedom national debt good written former secretary great basically',NOT
'#conservatives funding',NOT
'sean donald trump times #maga #theresistance',NOT
'going become antifa fight',NOT
'respected paul congress',NOT
'americans going demand christine ford face criminal charges &amp face jail time proven lied guilt fact contacted dems ford come forward witness hearing shes bought paid',NOT
'dont folded_hand',NOT
'soros money pocket #magaunited_states united_states united_states united_st',NOT
'amazing funny keep love talk harry harry awesom',NOT
'right denial irrelevant facts thus antifa',NOT
'education utter charge neither conservatives brexit factor',NOT
'suck fucking hard genuinely want drop school quit spend every life destroying another lead hate much',OFF
'less mean environment less biased towards conserv',NOT
'thats satan threaten',NOT
'owner elderly lady couldnt leave trailer cause tank',NOT
'mean wrong',OFF
'followed &amp awesome maga patriots must fired &amp people vote november much dems planning bringing even though commit',OFF
'much &amp showing superman giants recommend first issue',NOT
'smoking marijuana girl paying people keep slave slave insan',OFF
'dont concerns keith ellison wel',NOT
'crossed line long time antifa socialist parti',NOT
'think politician name good dont research person',NOT
'mean liberals screaming nomination hearing kind clown show tell accs make demands isnt university board',OFF
'starting control',NOT
'lovely settled story loves loves loves book much read three times hope well feeling bett',NOT
'giving good view',NOT
'professor stupid mental illness obviously teaching anyon',OFF
'best #maga white_heavy_check_mark following amazing patriot',NOT
'interview important part hiring process selling come naturally lets make sure youre fully',NOT
'want fight real taking piss',OFF
'disgust',OFF
'hello fellow patriot',NOT
'talented ador',NOT
'left stop politics keep promises #maga',NOT
'question dont respond street',OFF
'president trump normal washington insane totally touch forgotten middle class working people america drain swamp &amp maga',NOT
'shes bitch',OFF
'people dead shooting california lord forbid talk common sense control face_screaming_in_fear face_screaming_in_fear face_screaming_in_fear face_screaming_in_fear',NOT
'whos paying tweet antifa',NOT
'bono stupid ridiculous wealthy hypocrite fascist cant listen',OFF
'come forward allegation years nothing obstruction lies #confirmkavanaugh',NOT
'lmao really didnt know face_with_tears_of_joy',NOT
'cause control worked well chicago',NOT
'white',NOT
'conservatives antifa',OFF
'master powerful world barry armed trump lethal force barry never thought los',NOT
'never conservatives',NOT
'maybe antifa physically assault others political beliefs democrats neith',OFF
'worst place experienced fucking movi',OFF
'ughyou',NOT
'hope okay',NOT
'hope enjoying train',NOT
'knew millions donations received access',NOT
'another bigot showing basically sounds much donald face_with_tears_of_joy',OFF
'liberals want control coffin theyd happy contact making suspicious divide hidden agenda',OFF
'posting video done wearing',NOT
'said',NOT
'early antifa group heavily armed look happi',NOT
'repeatedly previous measures funding dont come effect future date serve help make profit isnt going solve housing crisis created labour made wors',NOT
'blame trump bunch idiots blame corrupt',OFF
'course offended liber',OFF
'fucking mind socialism good thing fool',OFF
'express enough proud truly believe hard work turning point definitely time white boys club step aside listen young people',NOT
'never said died said charge town wrong many people case trump wants please cause sure trump knew count high',NOT
'called politically bankrupt said behind opposed brexit neutral_face face_with_tears_of_joy',NOT
'defending making excuses obvious sur',NOT
'insult families embarrassment film mak',NOT
'honor #constitutionday purchased #trump #maga #trumptrain #america #usa',NOT
'obama didnt agre',NOT
'point average best',NOT
'flake lost guys lost think people instead existent car',NOT
'family',NOT
'knows going jail soon',NOT
'wait antifa',NOT
'everyone must research project',NOT
'',NOT
'profile thinks hardcore thinking_fac',OFF
'shes poor thing shes antifa many ties shes trump hater didnt appear blue naive people america lying leftists intent destroying democraci',NOT
'antifa means antifascist sure antifa organization millions antifascist',OFF
'right front face giants censoring conservatives every single dems constantly calling control” sometimes repeal amendment conservative ideas shut college campus',NOT
'bono hous',NOT
'much respect wherever',NOT
'code letters face_with_tears_of_joy winking_face_with_tongue',NOT
'checked face_with_tears_of_joy',NOT
'liked pretty much freaking daughter killed little brother pretty sweet loves father much loves loved',OFF
'youre either reason youre associated altright time find better news sources altright hasnt relevant journalists covering #antifa focusing conserv',OFF
'choice simple vote voting socialism vote desantis voting everything makes florida great',NOT
'asking right',NOT
'cant send back canada anim',OFF
'fake new',NOT
'sorry thats game goes working producer thats working enemy wouldnt either find well within right',NOT
'never slave spartacus slave figure neith',OFF
'bell thats dumbest argument compare college played best season collins first year starting starting much better',OFF
'fucking',OFF
'theyll maga hat',NOT
'religious persecution religion',OFF
'honestly fact hasnt power fact balance besides government kinda shit anyway presid',OFF
'fucking murdered talk marijuana',OFF
'theyre antifa looks twitter face_with_tears_of_joy face_with_tears_of_joy',NOT
'leader antifa',NOT
'woman_shrugging_medium_skin_ton',NOT
'face_with_tears_of_joy respond',NOT
'never really want meet',NOT
'fell asleep someone tell ch',NOT
'consider source bono',NOT
'zero research',NOT
'face looks throw',NOT
'good come back #maga',NOT
'thank',NOT
'trudeau metoo movement hahaha wrong side funny questions never went anywhere trudeau',OFF
'united_states united_states amazing maga united_states #trump #trump2020 #maga #maga2020',NOT
'theres zero evidence jobs thing platforms morals #conservatives #cdnpoli',OFF
'thank sick loudly_crying_fac',OFF
'totally agree #trump2020 conservative owners teach guys federal public paid protected conservatives',NOT
'eyes wont notice',OFF
'unhinged liberals &amp disgusting stat',OFF
'chance sexually assault girls high school explain crime &amp insist benefits &amp altright &amp back obvious lies right',OFF
'need liberals access guns mentally stable must',NOT
'wind histori',NOT
'hope enjoying',OFF
'compare jamie youll chest millions industry open reasonable control measures public land',NOT
'loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face suppose order',NOT
'yeah exact thoughts real people stop saying dumb shit internet',OFF
'eyes hear voice obama failed president every sense word #maga #kag locomotive united_states united_states united_states united_states united_states united_states united_st',OFF
'antifa children threatening members congress homes differ',NOT
'shes shes long forgotten common sense alone american people feel shes another michael bloomberg trying push views everyone state',NOT
'president despite woodward book lies done respected economy longer less enemies fear john histori',NOT
'honestly think acting career rather fantastic twitter comments political comments',NOT
'lie',NOT
'antifa thugs remind stupid enough someones firearm wouldnt surprised thrown',OFF
'fascists antiamerican communist scum fuck piece human garbage #maga antifa terrorist',OFF
'remembered witch used make false claim good democrat hates republicans much willing ruin good mans name name power democrats crying wolf mani',OFF
'brennan clearance grinning_face_with_big_ey',OFF
'attorney general history held contempt',OFF
'antifa domestic terrorist organization george money domestic terrorist organization uses &amp violence spread',OFF
'loving shit right',NOT
'attacked allowed question liars lied oath ne',OFF
'',NOT
'rubio town hall answering questions public control people whose friends children murdered takes courage lying stupid hear',OFF
'know even close shes using term defend disgusting disgraceful decision vote party american people wonder much getting paid vot',OFF
'antifa',NOT
'another democrat scam republicans dont fund terrorist groups antifa threaten people ahead make look r',OFF
'thats different show talking paul actually news british tucker',NOT
'mind still accepting federal government belongs memb',NOT
'beauti',NOT
'attack democratic liberals enough scam show vote kavanaugh',OFF
'thought whole world knew liberals never answer questions truth theyd never another elect',NOT
'older',NOT
'looking place',NOT
'disappointed_fac',NOT
'shes narcissist',OFF
'great certainly anti fascist group antifa fascist violent groups america case hadnt noticed associated largest hate group america democratic parti',OFF
'agreed every maga patriots must follow lets together great nation 2018 repeat 2020',NOT
'dont think everybody wants rich sadly lying pretending simply excuse nothing wrong dismiss want greedy',NOT
'liberals love hype financial genius much success costs prov said tools give decent public',NOT
'tweet keeps wondering around',NOT
'watched press trump heard much make poland pays military base demented fool really believes goal america make money hear says isnt hotel',OFF
'think hard imagine sane person vot',NOT
'intelligent highly accomplished black white liberals &amp order successfully able people black child looks inspiration doesnt exist',NOT
'liberals media wont report',NOT
'fucking mess hate much',OFF
'telling best students role model',NOT
'eric holder filthy',OFF
'yeah guess helped become murder capital world control work',OFF
'factory workers shot dead century arms rifle blames control law',NOT
'probably #maga',OFF
'shame rest left wing media jobs looking best example #fakenews bias #maga #walkaway bias corruption left',OFF
'definition snowflak',NOT
'everyone knows kerry doesnt clue heard numerous anonymous sources sane thats sourc',NOT
'innocent false accus',NOT
'media simply calm report folks decide propaganda party anyone disagrees evil worthy maxine antifa treatment wors',NOT
'lets prove worthy show nation',NOT
'#maga said',NOT
'dump',NOT
'',NOT
'waste ones short united_st',OFF
'long live satire truth well call smiling_face_with_sunglasses ok_hand',NOT
'definitely antifa members getting kil',OFF
'says everything principles hang word porn integrity left',OFF
'didnt elected people united states hell referring antifa fools asses pathet',OFF
'talking comment fascist means nothing said antifa',OFF
'facts matter plain &amp basic never happened history area fact happened donald trumps watch support failure dismiss',OFF
'cant drink',NOT
'failure whole lif',OFF
'looks antifa',NOT
'step elected liberals power liber',NOT
'white cops called racists mobs liberals',NOT
'probably john love chance talk father control',NOT
'people dont obey many guns north america people control liberal mind',OFF
'true point control total bullshit',OFF
'give energy naturally keeps',NOT
'something dont mean nothing done past probably warn many th',NOT
'damn looks rainbow pretty shit',OFF
'keep voting liberals futur',NOT
'control keep guns hands crimin',OFF
'group anarchists make anarchist antifa weird explain adult made strange jump person works works right',NOT
'white victim trump abusive animal',OFF
'untreat',NOT
'credible looney liber',NOT
'conservatives lov',NOT
'favorite person earth know youre hungry want food bought count steel wont able please keep mind',NOT
'classical',NOT
'maga grow',OFF
'saying articles message liber',NOT
'cant tell fuck cant',NOT
'whore',OFF
'thoughts sandy seems wel',NOT
'absolut',OFF
'nail',OFF
'takes break',NOT
'antifa hides identity behind masks living tim',NOT
'lmao hell confirmed start short next years along another lower court democrat destruction last years epic hilarious #maga',NOT
'reason call common sense dont know want bandwagon #maga',OFF
'#freedomofexpression',NOT
'glad babe kiss lets going coming tomorrow final right',NOT
'therapist baby august seeing good real therapist wonderful helped much',NOT
'obvious clean inside skin color onto others many live lives seeing color many mixed families',NOT
'bitch business face_with_tears_of_joy',OFF
'seems real idea went whether actually went anything negative judge kavanaugh vague best absolutely zero supporting dangerous',NOT
'another fraud senator left',OFF
'look mirror mark crazy &amp',OFF
'ar15 fully semiautomatic assault rifle control works donald trump racist',OFF
'dying sport',OFF
'forbid workers able earn decent wage liberals want working class poor quiet',OFF
'kids chicago killing daily cause much good home state control right',OFF
'sexual abuse woman obviously lying believe remember every detail obvious woman come forward hurt conservatives truly hurting innocent women really abused',OFF
'liberals apparently think rights unless rights furthers leftist agenda',NOT
'andy must practice writing card',NOT
'people laughable leave alone gonna great',NOT
'tyler going staying week rolling_on_the_floor_laughing game play claim pathetic jury',NOT
'looks looks love pieces though sweet girl unique personality sweet mo',NOT
'thoughts control simple assault weapons banned civilians remember people murdered hammer hand protection support amend',NOT
'think really doesnt matter shes representing know people extension know lies pretending evidence always looking excuse votes supporting whoever',NOT
'argument deserve seems apply white boys &amp high status kavanaugh today influential political voices mostly conservatives argue supposedly high school',NOT
'cancel vote kavanaugh fall lying filthy liberals tell flake shut america sick left',OFF
'democrats care destroy matter republicans &amp conservatives',OFF
'band liars eric disgusting votes people dont really',OFF
'creativ',NOT
'better call cruz piece perverted former prime example used decent republican conservatives need vote beto',OFF
'still hasnt answered young woman found dead office lying',OFF
'&amp school lgbt love story best friend read half next went back bought series face_with_tears_of_joy',NOT
'control worked chicago safe place isnt national control worked mexico safe place isnt dont believe alcohol work drug work work',NOT
'anti abortion life women life point exist control',NOT
'gender isnt thinking_face tried trans trans thank',NOT
'keep fighting two_heart',OFF
'check super creepy people pointing disturbing problem republican elect',OFF
'want everyone know potus united_states #maga united_states united_states beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes collision collision fire fire clapping_hands clapping_hands waving_hand waving_hand flexed_biceps flexed_biceps flexed_biceps ok_hand ok_hand thumbs_up thumbs_up',NOT
'bitch know body ready face_with_tears_of_joy',OFF
'reason christine blasey ford wont testify kavanaugh despite serious allegations cant testify oath shell willing doesnt want less days election #potus #trump #maga #kag',NOT
'mess people stupid lazy thats conservatives shes screw',NOT
'even kavanaugh said wade settled spewing narrative exist trump said',OFF
'friend twitter joined front group keep lion fresh deep state perhaps might consider switch close account',NOT
'someone needs give woman puppy enjoying lif',NOT
'americans embarrassed sick anti america liberals plenty countries ideology already place mov',OFF
'great list heads maga profiles please update profile havent followed back lets maga',NOT
'perfectly describes democrats liberals #metoo #resist #antifa',NOT
'support control wouldnt dont want raising money good causes eliminate #stopkavanaugh',NOT
'aint maga hats sold dont stop wanting maga',NOT
'awesome',NOT
'voters decided control gotten daily',NOT
'plenty people taken stance favor common sense control doesnt mean jack shit dont plan common sense control really help empty',OFF
'fooled antifa threw fire rocks truck called cops said commies lawyer trick',OFF
'follback',NOT
'fuck',OFF
'leftwing seems teenage antifa facebook post',NOT
'ultimate',NOT
'think li',NOT
'point even liberals must question',NOT
'face close bitch probably stuck lick',OFF
'favorite person',NOT
'referring white folks',NOT
'donate picking report',NOT
'story charged glad streets certainly concerned clueless cops',OFF
'#liberals behave laws rules people #canada needs corrupt',NOT
'loll',NOT
'#liberals dont pushed around #conservatives arent supposed know youre winning theyre shouting understanding rules based best watch liberals heads explode cons',NOT
'liberals calling resign',NOT
'sometimes opens mouth replace foot',OFF
'seems read somewhere words liberals place trump supporters best',NOT
'dont give damn face_with_tears_of_joy',NOT
'well body clearly proud shes every',NOT
'words going tshirts soon available antifa',NOT
'issues focus liberals conservatives kneeling fake republicans freaking',OFF
'funny thing asked said anybody trying steal weapon rock solid case self defense hand antifa shoots anybody murder stealing weapon',NOT
'issue much greater control',NOT
'obamas lips moving li',OFF
'culture nation culture exists culture american cultur',NOT
'arguing control laws violation peoples rights even conservative regulations consistent courts repeatedly',NOT
'isnt time mentioned breath',NOT
'already thin',NOT
'letter wrote used lawsuit trump administration family border sounds connect',NOT
'honest',NOT
'desperately trying protect national health service point right wing conservatives admire american model',NOT
'alway',NOT
'#maga #trump #usa',NOT
'wrong',NOT
'judge lawsuit berkeley student injured protest event #tcot #maga #rednationris',NOT
'calling operative shill important bigot apologize actions woman wont even acknowledge defend explain despite many times asked alreadi',OFF
'happening rate decent amount drop',NOT
'work asses',OFF
'fuck',OFF
'admit made suck',OFF
'firearms call ar15 fully semiautomatic assault rifle push control donald trump racist hates russia',OFF
'2013 nice athlete',NOT
'talk shit play something dont know song fire blowing later becomes song',OFF
'coming soon',NOT
'hows going working conserv',NOT
'mean much amazing girl advice finally following dream love photos amazing already know gonna even amazing later',NOT
'trash great coach wouldnt listen hate told coach keep praying hear',OFF
'little pussy saying shit behind peoples back',OFF
'says thinks labor equivalent socialists face_with_rolling_ey',NOT
'sick person',OFF
'better case start kissing know automatically beautiful start kissing kiss dont even wait youre star anyth',NOT
'correct many good completely lin',NOT
'miss red_heart red_heart',NOT
'anyone think franken resigned actually heard',NOT
'horrendous course conservatives breath generally awful human beings dont doubt victims story even',OFF
'probably wondering forgot father told coming check never whole decided fast house face_with_tears_of_joy',NOT
'sister husband married years next week tough follow first marriage',NOT
'control everything conserv',OFF
'#tories #labour #ge2017 #conservatives conservatives introducing laws small businesses help small businesses access easier provide longterm boost economi',NOT
'okay thats enough shit dont care neith',OFF
'support lowest mo',NOT
'coolest dud',NOT
'reported toronto heres link defined spot',NOT
'cant pretend care women attacking conservatives count clapping_hands clapping_hands clapping_hands zany_fac',NOT
'yeah batman made mostly fuck cool lunatic dick wants viol',OFF
'people scared liberals think around conservatives ones stopped giving power trump movement absolutely everything including internet',NOT
'support potus help retweeting following follow follow follow face_blowing_a_kiss #maga #kag #trump',NOT
'dont think place protest police violence whatever protesting really cared local protest taking knee doesnt makes look ignor',OFF
'sexual misconduct allegation kavanaugh',NOT
'wont matter stand thou liberals somebody told society brilliant experts politics face_vomit',NOT
'hopefully shit chair australia really show',OFF
'wonder',NOT
'said thing today',NOT
'hell',NOT
'congratulations find publicly available lists please check follows people block',NOT
'still wont fir',NOT
'conservatives republicans give forgiveness peac',NOT
'comedy movies flick funny diane fonda mary part fantastic cast made laugh begin',NOT
'milk meant humans give head',NOT
'listen people queen right game backhand_index_pointing_up backhand_index_pointing_up backhand_index_pointing_up backhand_index_pointing_up backhand_index_pointing_up collision collision pouting_face pouting_face pouting_face pouting_fac',NOT
'going become',NOT
'dont think sociopath think knows knows li',NOT
'control groups putting millions elect',NOT
'blood blood looking looked grinning_squinting_face grinning_face_with_sweat',NOT
'gonna reply matter sounded camera',OFF
'behind orange crimes dating back billy globalist needs call year sure time hillary',OFF
'liberals cooper claim support diversity usually live areas without much',NOT
'dont trust right might shit',OFF
'shits #maga',OFF
'calm kavanaugh already confirmed know make plans employment train #democrat party country starting removing #buildthewall #maga',NOT
'face_with_tears_of_joy face_with_tears_of_joy shhh',NOT
'well wrong trump people dont made things better paid',NOT
'funny wrong times shoot bitch',NOT
'lost shit everyone class judging lmao',OFF
'dont forget international trade deals makes life less affordable average working family liber',OFF
'',NOT
'yeah point article trying meeting lawyers right defend character right character case woman feinstein democrats/liberals pathetic',OFF
'heard jeff thought victims right control improved pissed',NOT
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',NOT
'lots info coming today #wwg1wga #makeamericagreatagain #keepamericagreat #thegreatawakening #maga #kag hundred_points united_states',NOT
'love guy',NOT
'sorry dealing hope next place much better smiling_face_with_smiling_ey',NOT
'clapping_hands_light_skin_tone good great control laws saving lives',OFF
'girl retweet think antifa domestic terrorist organization',NOT
'endorsement smith major disconnect shes former democrat control past',NOT
'cant talk anyone answered message speci',NOT
'want know zero respect &amp antifa style attack kavanaugh thought going drop bomb face covered &amp blow good mans life exposed political hack sham',OFF
'feinstein come forward letter weeks need question back liberals funny sure #metoo movement back',NOT
'donald taking blue folks every last lmao #maga folks suck',OFF
'agreed bring dollar bil',NOT
'another funding george soros follow money trail woman likely never knew judge kavanaugh liberals running scared judge conservative christians values dirty politician',OFF
'july said gordon drugs called',OFF
'generous bringing spending time give others thank everything help planet red_heart',NOT
'side note always conservatives americas isnt perfect better entire rest really tucker youve every justice system world determined best',NOT
'fallon woosi',OFF
'truly little goddess two_heart',NOT
'beyond returns crap affects americans liberals stupid wake understand whats really going step aside adult',OFF
'dont bank america unless ready prove citizen every time want money account',NOT
'unhinged republican party question want wall control america illegal immigrant something unhinged republican party talk wall school shooting happens unhinged republican party',OFF
'today vote question',NOT
'beto jok',OFF
'everyone knows brown crazi',OFF
'seeing world eyes wonder kind life lead hateful feel sorry want show worth start witch hunt part problem solut',NOT
'look bullshit',OFF
'antifa rock',NOT
'much want spent months whole thing announce week voting call delay hour waiting stop vote #conservatives #maga',NOT
'reported source interest status ignore issu',NOT
'white male republican maga',NOT
'follow great talk home work time sleep',NOT
'control',NOT
'face_vomiting face_vomiting face_vomit',NOT
'good',NOT
'mean control policies reduce school shootings on',NOT
'theyve brainwashed obama media theyre full hate conserv',OFF
'funny democrats mainstream media figures (see defend antifa',NOT
'president trumps order fisa docs text messages proves keeping campaign promise working #draintheswamp #breaking #politics #maga',NOT
'happened kids still alive fraud',OFF
'award shows trash christians conservatives even ratings really back',NOT
'case point society mind causing people horrendous things hurting sign deeply troubled individual left control getting core mental health peopl',NOT
'simply accept failure former president harry trump always look blame',NOT
'antifa parent basement',NOT
'personally prefer antifascism form antifa',NOT
'fire brutal match long time jeff lost hope fine face_screaming_in_fear',NOT
'#deplorables #maga',NOT
'fuck acted father girl killed parkland instead telling much loves girls tell truth really doesnt give shit killed crazy whit',OFF
'obviously bitch',OFF
'currently lose london tories next election thats tories keep conservatives power stop real alternative financial services british gaining pow',NOT
'know family lives west hard core conservatives love bernier friends love going split party huge block politics cant choose family face_with_rolling_ey',NOT
'pretty much dont even wear maga',NOT
'correct democratic party slavery control',OFF
'supports antifa',NOT
'another tool unless control need mental health control',NOT
'content government control lif',NOT
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy purple_heart playing skull cant stop stop_sign laughing face_with_tears_of_joy',NOT
'looks middle shitting pants must mani',OFF
'#wethepeople want control legislation',NOT
'watches move around littl',NOT
'view persons involves show please better self promoting lawyer please lower standard',NOT
'exactly good must talkin',NOT
'clear corbyn offers solutions &amp answers everything &amp hoping conservatives elected politics &amp government much longer',OFF
'conspiracy theories',NOT
'youre right seemed pretty conspiracy russia #maga',NOT
'dont understand logic anyways going nowhere acceptable mayb',OFF
'yeah trust give weeks begging turns quick word word fools gold',NOT
'know loudly_crying_face face_with_tears_of_joy',OFF
'love beautiful revolving_hearts sparkling_heart two_hearts purple_heart yellow_heart beating_heart green_heart',NOT
'still solution make schools preach solut',OFF
'investigation reveals highly isis attack worst case joint attack',OFF
'know awesome enough cherry youre entitled drink house life rolling_on_the_floor_laughing',NOT
'liberals fool',OFF
'prove',OFF
'president trumps economy rising tide especially true hispanics among biggest victims economy obama hispanics trump economy #votered #maga',NOT
'whats cal',NOT
'beauti',NOT
'even accused rap',NOT
'read pile garbage wrote national review calls article liberals losing minds president investigated collusion foreign government anyone supreme court',OFF
'think disgusting money spent opinion need look closer home wear',NOT
'antifa constantly li',NOT
'irrelev',NOT
'birthday red_heart red_heart red_heart red_heart red_heart red_heart red_heart smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_heartey',NOT
'falling back blocking people face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy days going give month strip fascist antifa',NOT
'feel emotion almost watch saying film time strong',NOT
'issues lady government uses portion taxes support planned parenthood offers abortions said really life stop supporting taxes help israel kill kills school children',OFF
'reason getting life togeth',NOT
'correct corbyn',NOT
'remember defending antifa',NOT
'&amp still kinda mean times nice person ummm maybe that',NOT
'food made good thank loudly_crying_fac',NOT
'disgusting dallas find reason drag save 100% wrong',OFF
'please every network reporting bullshit obviously stop pretending political show',OFF
'antifa guess',NOT
'thats call control winking_fac',NOT
'tired piss poor excuse conservatives pretty much bigot fear feel shame shame hypocrites feel',NOT
'thinking antifa nazi type ideology wont argue though',NOT
'steps pivot away china trump tell companies countries products china include stolen intellectual property business china #maga',NOT
'idiots fringe right hated conserv',OFF
'careful know terrorist antifa going show someth',NOT
'mary profile followed know twitter trying keep conservatives connecting',NOT
'bitch mean',OFF
'early heard complaint',NOT
'mountain range',NOT
'imagine million spent security next',NOT
'says must remember include #london #maga #mbga #mega #mcga #conservatives #patriot',NOT
'welcome know speak every thinking good meeting place red_heart',NOT
'sickening watch twist justify control agenda #gunsense dishonest',OFF
'cult brother followers love talk hate bash liberals referred rightwing cult',NOT
'shes',NOT
'fake news term used rather word #maga #walkaway',NOT
'loudly_crying_fac',NOT
'epic moment guys dumb fire shit dragon need bury half body tank half stomach',OFF
'liberals trying destroy conservative time charge jail liars destroy',OFF
'remember weeks coach maryland football squad sure parents thought thing coach dick head competent smith',NOT
'fucking great love death problem',OFF
'judicial watch records interviews justice department official #tcot #maga #rednationris',OFF
'lying shit',OFF
'fighting lies letter #qanon #qarmy #maga #wethepeople #wwg1wga #spygate #redwaverising #walkaway',NOT
'cant nigga retard',OFF
'point australian dont free speech hate speech laws people convicted enough hint point room',OFF
'another example lying liberals conservatives experts voting right person anyway d',NOT
'found lif',NOT
'amazing dems always ones hear whistl',OFF
'coming bruh',NOT
'cute dont know strong mans especially fight guess grow able hold short point dont worry fighting anymor',NOT
'black',NOT
'straight never support another team',OFF
'cute',NOT
'always look',NOT
'hear knee pressure',NOT
'control answ',NOT
'trump fans bullies antifa steve scalise movement need',OFF
'last person',NOT
'sure lots folk arent actually liberals want sensible party vote theyre well served political system',NOT
'thank first lady service putting vile liberal everyday true patriot #maga',NOT
'documents must getting close crook',OFF
'removed rest islamic',OFF
'following united_st',NOT
'need antifa outside confirm kavanaugh',NOT
'expecting video',NOT
'bitter hateful woman ruin',OFF
'democrats want control range practice better #nra #maga',NOT
'color world never seen group people delusional &amp denial liberals trump guys need sorry simply #liberalismisamentaldisorder',NOT
'hope',NOT
'especially liberals found buying vote kavanaugh',NOT
'love first crush lov',NOT
'speed',NOT
'paycheck hurt face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',NOT
'serious case bias seen antifa seen dems maxine waters calling trump officials laughing kid',NOT
'penalty shoot didnt play fin',NOT
'love future democratic party though',NOT
'thank president trump maga united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart',NOT
'#maga united_states folded_hands united_states #wwg1wga united_states oncoming_fist united_st',NOT
'control divorce though',NOT
'rain amazing person',NOT
'trust twitter makes human five best game today',NOT
'island',NOT
'illinois strict control lets thugs gang guns means viol',OFF
'right total right gonna suck',OFF
'handsome guess going follow moms foot steps become rose rose',NOT
'forgetting steve scalise shot left wing society known antifa beat destroy property speaker maxine waters calling chaos watch something &amp learn truth',NOT
'white repubs &amp thank jesus guess dont christians money buddy good luck mike trying style liberals face_with_tears_of_joy face_with_tears_of_joy',NOT
'another falsehood dont think anyone wants abolish amendment growing majority want sensible control form better background checks banning assault rifles trump anything base snak',OFF
'congratulations great american president great things together maga wwg1wga',NOT
'help',NOT
'really dems behind violence mass antifa',NOT
'good news hope getting free spac',NOT
'thats throw race forget happened white women accused bill clinton sexual allegations liberal democrats around liberals disgusting disgraceful human beings cr',OFF
'meant time talk control',NOT
'protesting certain answ',NOT
'stat',NOT
'cancel moment said slavery choice rock maga',OFF
'sick head lost',OFF
'#conservatives left #congress passes spending bills #tcot',NOT
'#levistrauss takes side control going',NOT
'fuck money',OFF
'wonder liberals realize much despise prob',NOT
'think',NOT
'playing dirty liberals point',OFF
'cant believe didnt work pizza alex jones conservatives lost',OFF
'rich coming spokesperson organization every commonsense control bill everi',NOT
'thing know didnt write oped dumber rock',OFF
'cute away',NOT
'love align people control affordable health care',NOT
'thats billionaire youre words dont',NOT
'needs every stolen american people disgrace senate peopl',OFF
'joke',NOT
'media liberal floor join conservatives #cdnpoli',NOT
'look ones proud liberal white liberals tell hispanic community liberals offended minorities people friend',NOT
'mexican',NOT
'scale much laugh excuse besides plain shit',OFF
'john kerry made answer meetings iran #tcot #maga #rednationris',NOT
'fact longer tries give sides story instead gives side #antifa left liberals gods look dont even enough print anymor',OFF
'said away ammo talking control said maybe didnt mean proving leftist thats fine still dont trust anymor',OFF
'control',NOT
'pretty good hope well friend tough season teams happen',NOT
'defending antifa st',NOT
'remember republicans destroyed career neither dems liberals views disagree',NOT
'start informed classes play',NOT
'heres down_arrow much plus down_arrow much',NOT
'liar',OFF
'blue wave hysterical violence',NOT
'hollywood media make jokes jesus christians think thats hilarious turn every innocent joke conservatives tell outrage typical',OFF
'resign boys curious honest question perspective yall ways serious',NOT
'legit shit funni',OFF
'people still trying altright blanket statement people associated altright another reminder exist violent #antifa antifa many accounts twitt',NOT
'well talking control winking_fac',NOT
'beto running hard left open borders aggressive control raising taxes 100% cruz though texas show vote november dont assume',NOT
'thank letting know',NOT
'comes control order make america happy remove list conservatives guns card democrats everybody happy everybody saf',NOT
'cough*nicky haley*',NOT
'fuck yeah',OFF
'wasnt rally killed someone someone showed people show antifa black lives matter rallies cause violence rioting',NOT
'certainly amazing gorgeous stunning sexy woman',NOT
'probably referring fact started whos apparently shit apparently finished years mean possibly field face_with_tears_of_joy face_with_tears_of_joy',OFF
