@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'antifa obsessed trump',NOT
'mean ninja loans banks forced provide democrats liberals providing racist people dont problem',OFF
'tina thank red_heart hundred_points president #maga hundred_points united_states united_states united_states united_states united_states',NOT
'please author article something rescue brexit forever federal plus conservatives least trust tories',NOT
'need guns special fall election focused electing actual #gop',NOT
'govt affordable policy labour conservatives decades designed immediate required never likely implemented sadly effect',OFF
'theres saying aint wanna loose wanna loose daddy',NOT
'fake news right mind along',OFF
'face_with_tears_of_joy united_states smiling_face_with_sunglasses driving feinstein #california #wethepeople #draintheswamp #maga #wwg1wga #kag #msm',NOT
'standard trudeau “liberals” emotional canadians think canadians stupid',OFF
'#tuesdaythoughts feeling twitter government president trump censoring conservatives watch news coming soon',NOT
'leaders must much control overall protect young people',NOT
'without prior existence fascism antifa fascism antifa goes away',NOT
'empathy president presidential trump hope',OFF
'energy thank',NOT
'batman superman trailer awesome awesome dont call shit movie well bitch fired left leaving',OFF
'believe step worse according experts sociopath narcissist',OFF
'aaron never ring rest career hope regular season cause thats good nice',OFF
'better call liberals word liberal &amp dont want word people dont know actual definition look word feminism society changed meaning something negative',NOT
'becoming unhinged game',NOT
'amazing',NOT
'people change time president change stance control first campaign perhaps kaepernick issue read history subject history dont seem',NOT
'good miss follow seems idiot &amp think perfect even though multiple investigations disagree still looking better role model america',OFF
'correct',NOT
'offers different view liberals conservatives university',NOT
'fuck dont start working steel soon whole shit',OFF
'thats want right pretty sure youre supposed church dont care around persecution face_with_tears_of_joy',NOT
'gonna antifa idiots shot fast face_with_tears_of_joy face_with_tears_of_joy dont even realize owners usually really aware whats going around',OFF
'favorite play genocide path mass murderer real lif',OFF
'think knows going lose anyway nothing lose battle suicide think unfortunately stay news',OFF
'agree antifa arrested start',OFF
'case anyone missed slightly_smiling_face grinning_face grinning_face grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes face_with_tears_of_joy face_with_tears_of_joy united_states united_states united_states united_states #maga #trump2020',NOT
'prepared dont remember time liberals believe',OFF
'planned parenthood millions pregnancy pregnancy doesnt potentially result abortion conservatives possess critical thinking skills whatsoever',NOT
'control enough enough',OFF
'gotta prove world bale',NOT
'conservatives young people constantly trying destroy left taking action young people sense effective connected destructive',NOT
'head switch nike control',NOT
'lost soul father real good',OFF
'sorry hear chris part family admire fight strength battle words express sorry dealing truly hope found',NOT
'liberal dictionary illegal immigrants dreamers trump supporters deplorables ms13 killers human beings human beings womb human beings antifa protestors abiding terrorists bill clinton feminist brett kavanaugh predator',NOT
'good example democrat control',NOT
'nut',OFF
'whos talking sense follow industry expert',NOT
'every comedian sudden',NOT
'hopefully wont learn better control something happened doesnt seem turns life around better care',NOT
'followed truly amazing woman follow',NOT
'support control grinning_face',OFF
'prosecuted extent tragic waste beautiful person judgement ruined family friends lives know little loved folded_hands_mediumlight_skin_tone',OFF
'swear niggas make wanna turn phone',OFF
'youre part problem liberals #draintheswamp',NOT
'',NOT
'description charge door thats likely point antifa (which quite',NOT
'nothing opportunity liberals false headlines cherry picking statements meaning stall tactic reality',NOT
'beef thought liberals',NOT
'#stopkavanaugh believe women except support kavanaugh #tcot #maga #rednationrising',NOT
'conservatives person believe need become elections dont well dishonest dems think violence worse conservatives need able defend loved',OFF
'',NOT
'every western country thats eliminated mass shootings effective control lying',OFF
'libs conservatives simple',NOT
'anarchist treason free america antifa',OFF
'even obama trade trump global trade mess #maga #makeamericagreatagain',OFF
'democratic socialism #maga #kag',OFF
'state level crime alleged silly liberals crime committed kavanaugh probably liar ford #democratshateamerica',OFF
'thank explaining second referendum used question manipulate answer order power #peoplesvote',NOT
'demend',NOT
'wasnt aware money sensible control thinking_face',NOT
'tonight check',NOT
'blood hands control',OFF
'thing fascist left antifa anarchists socialists democrats folks right authoritarianism fascism look trump attacks rule putin',OFF
'whats definition mass shooting headlines nationally death single headlines australia tell mass happened control imposed links sources please',NOT
'keep nationalist nonsense democrats midterms raise taxes youll able page everyone universal health care control save lives learn eventually',OFF
'dont liberals understand allegation drunk dont federal crime wrong people',NOT
'bul',NOT
'guess need double donations protect constitution bill fast company control groups donations hurt everyone agrees truth gun',NOT
'dick durbin figures lies often enough people start believe right leftist playbook',OFF
'#conservatives wrong wrong left',NOT
'another liar broke oath',NOT
'sexy',OFF
'think racist touch reality presidency reality show empathy suffering ability tell truth mentally incapable president country',OFF
'fired arrested clearly using drugs',OFF
'well really sure went claiming punch women asshole completely wrong tweet nothing clear fact sucks',OFF
'antifa telling people back sleep',NOT
'interesting study people gullible rising antifa',NOT
'liberals athlete berating official turn sexism issue liberals ruin everything putting politics everything',NOT
'already listened times fucking well made',NOT
'kick absolute shite',OFF
'correct line doesnt overall plan plans need start usually back bone line expand upon parts start heavily used funded govern',NOT
'good example cant ar15 someone used control pussies',OFF
'well night thumbs_up',NOT
'peoples army helped antifa vice versa suggest send government need know',NOT
'wont looks never takes time',OFF
'thanks open borders control',NOT
'year home today well tears receiving star week award miss',NOT
'stop spreading false news hurt enough dont need shit',OFF
'shit disappointed_face',OFF
'obama done nothing problem office going telling stories trump able hope control',OFF
'preach gods people deserve better',NOT
'disgusting need politics schumer corrupt kind politicians americans tired country brett kavanaugh voted americans stand',OFF
'kid',NOT
'defense kavanaugh republicans conservatives media public americas rape culture neither race neutral',NOT
'fuck',OFF
'oops guess liberals call racist nazi along names book',NOT
'thought couldnt effective usual giving money friends',NOT
'even chris said people wise stop first warning second warning serena kept going sucks ended keep arguing making comments second warning expecting',OFF
'awww look cute beaming_face_with_smiling_eyes winking_face_with_tongue',NOT
'raise hand youre going fall next resistance',NOT
'wonderful',NOT
'going church ground',NOT
'telling senator cory booker stop taking money pharma stops biased towards liberals remember republicans',NOT
'fools respect',OFF
'reported inciting violence trump supporters making lists target trump supporters antifa',NOT
'fucking league football',OFF
'guilty',OFF
'liberals keep people countries ideals preach upon womens rights respect doesnt make sense double talk',NOT
'antifa brain child democrats #democratshateamerica #democrats',NOT
'noticed twitter block anything certain billionaire buys people accuse conservatives wrong',NOT
'love leona alleslev seen liberals seen destruction choice service country trudeaus father started destruction hasnt changed goal destruction either thank joining',NOT
'thank',NOT
'good head case',NOT
'tell gone monday enjoy panic follows',NOT
'liberals backed taxpayers ontario beginning process expose crime',NOT
'broken gonna able scratch demon gonna cool using every battle',OFF
'condemn antifa attacking peaceful time biden viewed someone bridge evil ways went dark think',NOT
'control keep terrorists shooting',NOT
'youve liberals cheating voters changed mind election alleslev',NOT
'mine reason lock screen haha',NOT
'places promote blog free massive traffic expect blog',NOT
'half apology goes away conservative anything close ruined life mentally deranged liberals totally disgusting',OFF
'spartac',NOT
'beginning sound stuck record brian dont find something less boring instead',OFF
'liberals stop nothing',NOT
'sure really diet dont carry',NOT
'better check history look back nazi germany compare antifa direct match democrat party step behind',NOT
'kerry needs prosecuted colluding iran needs done quickly security clearance &amp remove',OFF
'someone tell voters least citizens cant imagine adults critical thinking skills vot',NOT
'forevaaaaaaaaaaa women_with_bunny_ears',NOT
'things mentioned mean nothing love country freedom country mean anything world #maga #kag',NOT
'metoo movement extension democrats &amp hate group antifa another form oppose agenda metoo people jump name justice perpetuate mass bullying threaten expose',OFF
'cant tell story rain whore life fuck people money',OFF
'ad',NOT
'face jury instead',NOT
'trump started mess stop doesnt part problem',OFF
'girl fine',NOT
'traitor thinks',OFF
'girl question really strange isnt',NOT
'right',NOT
'wonderful president ground burn spending time hurricane victims rare site president cares much american people love thankful service country #maga',NOT
'political slap face women really abused liberals know leader told whatever power pathetic',OFF
'mother spoiled heck still loves brat things happen brat deserves still child norm realize depends',OFF
'proves antifa members clowns john land',NOT
'years republicans denied obamas picks outrage phony fake presid',OFF
'great comedy news much #maga',NOT
'voting first time midterm #maga',NOT
'lmao',OFF
'liberals america getting free',NOT
'indeed follow cutest sometimes',OFF
'fast food',NOT
'dont even understand saying',NOT
'amendment none funds made available title used whole part advocate promote control states research want stay politics around control',NOT
'grade football looking parent help stand interested email',NOT
'went high school dumb liberals area',OFF
'really several shares nike capitalist socialist believe free liberals hand keep standing lead golden path higher taxes wealth sharing',NOT
'course shouldnt cause obviously complete want delayed time vote theyll come another plant every supposed victim apparent liberals come always look lesbian teacher',NOT
'hate mongering solution change playbook losers',OFF
'well wouldnt rush didnt allegation july dont facts good slander conservatives right',NOT
'totally question making millions dollars stormy daniels still strip make living unethical',OFF
'trump information nothing subject investigation repeatedly said much back',NOT
'registered vote registration connecticut november',NOT
'lost believe',OFF
'dont pigs dont life outrage bill clinton keith ellison protesters hypocrites #maga',OFF
'maybe consider instead theresa isnt real name shes johnson conservatives terrorist chequers hearnoevil_monkey smiling_face_with_halo white_medium_star rainbow white_medium_star',OFF
'common sense tells lying story justice metoo movement force give platform answer questions taken seriously consequences proven without doubt lying',NOT
'cakefriend',NOT
'feeling okay coming across hysterical',NOT
'says stands sensible control',OFF
'come control instead things never pass america',NOT
'love video articles stories long great teaching fact lov',NOT
'antifa tough imagined never turned video games played',NOT
'sweet',NOT
'ford conservatives hates democratic freedoms attacks canadian rights freedoms hate minorities constitutional rights #canada',NOT
'proves liberals care issues republicans control',NOT
'outrage something credible instead #maga',OFF
'people love david think roger waters dick obviously',OFF
'lying ly',NOT
'advocating ridiculous',OFF
'thats messed #walkaway waters zero control demon within thats happens &amp stupid greedy folks submit devil satan defeated 2016 #americafirst #maga',OFF
'vote abortion control presidents legal issues',NOT
'cant tell #conservatives didnt keep till time final potus',NOT
'fucking hilarious',OFF
'lies #kavanaugh #maga',NOT
'lord master blah blah blah liberals dramatic',NOT
'fucking little',OFF
'violating conservatives freedom speech censorship important thought today used conservatives tomorrow depends holding power sounds communism',NOT
'everyone attacked antifa type groups never jail gets extreme negative media coverage violence except',NOT
'ad',NOT
'cares sick head',OFF
'youre talking kavanaugh accusation even conservatives seen havent',NOT
'much trump mental president responds badly opposition well praise graham needs mueller investigation &amp judges trump asked step president &amp pardon whole family judges place',NOT
'ummm theres video coach literally admitted lmao maybe read strong shitty opinions',OFF
'white_heavy_check_mark white_heavy_check_mark shit fact checking white_heavy_check_mark must antifa white_heavy_check_mark',NOT
'trump blame immigrants coming liberals likely thinks head spending longer pass broad need every forbid without congressional permission',NOT
'kerry nothing damn politician going trying president traitor sure better watch',OFF
'really army love',NOT
'former antifa',NOT
'totally antifa works',NOT
'especially fascist nazi tell profile people pathetic shame',OFF
'know wonderful woman campaign bring back starting think little',NOT
'cuty',NOT
'arent conservatives religious isnt republican party denounce denounce antifa',OFF
'understand meaning america reading creating share knowledge american fellow citizens #maga #kag',OFF
'thats',NOT
'pedophile criminal deserves fired',OFF
'true valid',NOT
'dont know even',NOT
'exactly pure hatred never seen mobs people realize self crucial right honestly stay focused &amp ballot',NOT
'inciting violence twitter accounts supporting potus made lists targeted',OFF
'general rule owes little born makes graham bell',NOT
'punk thank red_heart thumbs_up',NOT
'eric holder prison',OFF
'david said theresa start leaving deal &amp deal table told thats deal #brexit',NOT
'fucking fast holy shit',OFF
'good shit kaepernick great model young kids play football stand believe',OFF
'dont likes &amp long protected never give shite happens streets country',NOT
'knew girl excited',NOT
'business owners involved regular basis society become liberals constantly looking',NOT
'conservatives &amp family first formed government last conservative',NOT
'holy shit better drinking milk eating nauseated_face',OFF
'nice group #maga follow back thanks',NOT
'dead mass shooting third bank building downtown cincinnati deep state fake news crisis actor alert control bullshit',OFF
'related another creepy fusion',NOT
'wide world sports',NOT
'seriously consider maybe always wrong &amp people correct wrong smirking_face',NOT
'liberals always wanted hands want',NOT
'morning check maga kids book written trump america loving veteran #maga #trump2020',NOT
'loved hate bobby brown show really screwed kids back please drama favorite &amp jerry maybe show andy',OFF
'cant talk trump everything promised economy better congress special start',NOT
'amazing projection',NOT
'need address question president trump hire lawyers hire robert mueller #maga',NOT
'#politicslive decision coalition fall years come',NOT
'reported deaths church shooting dems already calling control shootings waiting report pedophile content allows reason american media establishment trying tell stop taking',NOT
'friend told last year thank discussing held rather tell people price #maga',NOT
'never talk shut',OFF
'',NOT
'years compared call minutes didnt want testify state moving according plan remember years planning',NOT
'legit',NOT
'bullshit daughters watched tennis match deserved williams fans game',OFF
'know look outside rush lost shit remind head funny',OFF
'know always scary creepy around',NOT
'nigga tweeting hope',OFF
'cov',NOT
'nobody nation lost existed',NOT
'still havent answered question whether country keep enforcement officers safer control laws subject limitations amendment',NOT
'love cute smiling_face_with_smiling_eyes',NOT
'jobs available people fill said never #trump2020 #maga',NOT
'explains leftists',OFF
'good maybe theyll give',NOT
'brains beauty love show prime time watch whole show',NOT
'#politicslive unfortunately still discussing wasted years perhaps idea',NOT
'another brilliant brexit team',NOT
'whats make',NOT
'anybody explain many',NOT
'less money funny person concerned profit healthcare everyone country want someone better still find something doesnt rent essential public service',NOT
'“she cutie',NOT
'second person minutes tell apparently sitting',NOT
'soros paid antifa christian conservatives sure',NOT
'vulgar antifa creep trying look cant help',OFF
'conservatives left building',NOT
'fuck',OFF
'proof liberal left think told',NOT
'women knew voting sympathy burn hell theyre daughters theyre women guns pants yelling maga',NOT
'listen giving still small voice shout true little silent start feeling person never',NOT
'debunk',NOT
'worst expect consider personally gain confirmation',OFF
'corruption (except socialism (except control (except need man_facepalming',NOT
'kids every',NOT
'president',NOT
'christian conservatives dont orange neither black white green pink color name',NOT
'arrest holder high crimes republic',NOT
'sweet baby wants girl he/she going become strong proud black woman grows',NOT
'maybe someone show wear',NOT
'busy monster',OFF
'come dirty pervert pounds point',OFF
'',NOT
'#westminster #tories #brexit united_kingdom #labour bunch #hypocrites angry_face total angry_face angry_face angry_face',NOT
'think everyone read means question referring reader case reader effect',OFF
'control didnt wait leave decide deliver areas already fully control rate months wasted plus time sign trade agreement britain hold',NOT
'breaking radical antifa',NOT
'fight',NOT
'dangerous liberals sure open',NOT
'youre adorable quite baseball family',NOT
'haters together extreme liberals watch',NOT
'tough football appeal sides except maybe rant',NOT
'know control stance residents',NOT
'antifa hate disagree hypocritical',OFF
'fantastic history time better left united_states united_states',OFF
'paint ball range used antifa match last year',NOT
'antifas making making face',NOT
'know went prison killing took given able vote dont talk pardon given',NOT
'think maybe give another party maybe',NOT
'local station national news youd follow anyone outside liberal bubble know vast majority conservatives outraged',OFF
'melania wearing dont give jacket donald wearing jacket always said trump house many went without electricity months cool',NOT
'#republicans #conservatives listen #democrats repeating dont stand #confirmkavanaugh',NOT
'quiet',OFF
'#congress sexual assault folded_hands #maga #wethepeople want know #hypocrisy sickening backhand_index_pointing_left backhand_index_pointing_left backhand_index_pointing_left &amp thumbs_up',OFF
'biggest joke history',NOT
'thank red_heart',NOT
'pointing umpire calling thief berating walking fast toward official calling moron think clear needs help perhaps',OFF
'thanks sanity time hahaha',OFF
'pedophiles catholic church',OFF
'liberals wonder dont want bathroom',OFF
'entire argument ignores fact control affects abiding citizens criminals think care background checks restrictions thats call criminals',NOT
'former antifa',NOT
'literally incapable',NOT
'dont know better dead nice message heart good place',NOT
'conservative women invisible liberals makes actually feminists know think know expect vote thats',NOT
'even around beautiful shot',NOT
'maybe cause hateful',OFF
'bit',NOT
'beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes face_with_tears_of_joy face_with_tears_of_joy important',NOT
'believe',NOT
'whatever sabotage liberals acting completely immoral respect millions legal voters voted',OFF
'going system know criminal easy rather simple person',OFF
'make best country though nothing special throw make butt hurt',OFF
'wouldnt easier close allow guns wrong hands article center children families good subject',NOT
'los',NOT
'everyone guns feel control',NOT
'puppet dont move string back works mouth nothing',OFF
'holder total disgrace office',OFF
'fool',OFF
'even strongest conservatives nominated still come',NOT
'good look',NOT
'definitely strange thats sure shes professor altleft university folks #trump #maga',OFF
'quite obvious morons star totally canada already extremely tight control laws criminals never never special kind stupid believe banning',OFF
'name democratic leader open borders second point climate change &amp dont private favor control &amp dont guns armed security fantasy',NOT
'beto clown supports kneeling thugs',OFF
'grew california doesnt matter youve heard worse doesnt mean jack president united states watching beauty change',NOT
'proper authority polygraph despite corruption organization',OFF
'best hope control banning bullet proof need terror',NOT
'liberals mean conservative',NOT
'liberals decide tragedy tight control)',OFF
'cant legit watching move',OFF
'coming back cant wait favorite hope well',NOT
'funny even woman brought wade #scotus later thing medical emergency required abortion &amp another liberals killing unborn children &amp pretending health care',OFF
'work social challenge perspective conservatives liberals',NOT
'hope america gets back together gets back proudly show limit face_with_tears_of_joy',NOT
'holder belongs jail',NOT
'shining light dark world',NOT
'youre literally white nationalist radicals enemies state youre lucky youre hunted federal agents terrorists states place soon enough #theresistance #antifa',OFF
'hillary think dont believe polls',NOT
'fuck already',OFF
'cause good time cover greatest corruption made hussein obama administration coming involved deep stat',NOT
'wanting control offended fined',NOT
'couldnt care racism created presidency never heard words come mouth melting',NOT
'completely agree second amendment common sense control responsible owner citizen needs military grade weapons high capacity find problem follow',NOT
'thats likely case think theres quite number people',NOT
'dare please miss',NOT
'american conservatives dont give shit terrorist group think believe',NOT
'still still singing amazing voice grateful folks stand carry',NOT
'unfit office mentally deranged unstable',OFF
'doesnt mean collusion',NOT
'netflix funny fuck',OFF
'things well',NOT
'liberals historical real definition trump derangement syndrome',OFF
'cours',NOT
'course werent interested domestic abuse still domestic abuse hope didnt fake shit actually care domestic',OFF
'mean antifa using exact tactics brown shirts used bring hitler power',NOT
'sound',NOT
'friends probably liberals imagine willing undermine nomination sure told month',NOT
'brain still somewhere lost liberals plain delusional matter oncoming_fist',OFF
'pyro',NOT
'talk know',NOT
'asking evidence prove wasnt double standard excuse evidence watched tennis years already know double standard exists dont know question',NOT
'american terrorists need strict lawless thugs stop antifas blue_heart black_heart',OFF
'opinion',NOT
'exactly light core issue saying years ears conservatives start supporting conservative voices messages always fighting defensive position',NOT
'thats always critique socialist privileged white antifa',NOT
'handsome think people donate shoes homeless veterans homeless americans circle',NOT
'sucks killing team',OFF
'funny werent great black women maga wants pretend time read white &amp ruled irony wasnt even great werent rich whole draft thing',NOT
'help mental illness good grief liberals seriously disturbed',OFF
'people sides support antifa',NOT
'female artist thats fucken queen right hands argue face_blowing_a_kiss',OFF
'back taxes still armed private security even screamed control husband still talk everyday move house',NOT
'real victims sexual liberals horrendous betrayal makes angry victim remember details call still years later &amp husband',NOT
'husband crooked fake throwing paper towels lost grip reality dont know help needs lots help',OFF
'#antifa warrior friends live',NOT
'common sense long arent throwing civilians antifa protests whole violence sometimes necessary idea antifa communists spread retarded yall youre kill civilians',NOT
'didnt lose talent demons &amp played embarrassment franchise situation believe still elite guess time tell',NOT
'love life happy right',NOT
'surprising conservatives want ultimate power life death away government',OFF
'unleashed dana exposes racist core leftist control control government telling doesnt trust',NOT
'cutie lov',NOT
'liberals complain',OFF
'dont judge',NOT
'trump world name fine name name thats #maga means',NOT
'look antifa note many high profile names comment accounts using twitter account aware reported sent angry tweet',NOT
'antifa domestic terrorist group',OFF
'surpr',NOT
'said sides good people everyone went white people antifa',NOT
'dont know think know realize liberals everything',NOT
'bul',NOT
'double standard paul china #deepstatecorruption #deepstate #kag #kag2018 #kag2020 #keepamericagreat #kavanaugh #confirmkavanaugh',NOT
'hair dont',NOT
'fuck yeah',OFF
'ears hurt listening voice sexy',NOT
'murderer whole department ashamed cover shame dallas nothing department handling situation criminal showing dont care citizens dallas',OFF
'arent late antifa meeting',NOT
'stop_sign news stop_sign backhand_index_pointing_right schumer feinstein hysterical issue unhinged demands delay kavanaugh vote #maga￼united_states #prolife',NOT
'sorry mothers loss cant imagine grief going',NOT
'hospital personnel shot dead wisconsin winchester pumpaction shotgun blames control laws',OFF
'antifa hatred',NOT
'',NOT
'looks control man_shrugging',NOT
'actually read liberal leaves liberals another liberal party',NOT
'send piece pile_of_poo wouldnt nice great britain build wall time time hillary clinton',OFF
'maybe dont know music sound plays full even went whole team used',NOT
'sorry think telling truth twitter feed employee gets paid',NOT
'anyone supporting nike antiamerican',NOT
'probably need control government taxes less',NOT
'think label conservatives community rights somehow thats supposed make liberal',NOT
'creepy',NOT
'much american payers trumps corporation every weekend wasnt going golf stopping control cost many student lives year reality congress',NOT
'goodell resign social justice',NOT
'math class character morals ethics divided truth',NOT
'thats need bring control even better shoot foot real well going school shooting',OFF
'shame',OFF
'squad anytime',NOT
'wrong white proud american woman happen white represent soooo done identity politics liberal',OFF
'cant good feel needs transfer cant help funny feeling going save point year never know',NOT
'already many common sense laws books common sense calls holding people accountable fail parkland left always wants blame owners push control rather honest',NOT
'needs quickly music sucks cares political views unfortunately ignorant realize concert went political completely ruined completely',OFF
'trump sending president bashing chair',NOT
'many choose mention speak twitter lately tweets constantly make laugh makes better',NOT
'regret looking conservative right leaning even speaking topics modern conservatives youtube people referred',NOT
'think',NOT
'knew antifa twitter feeling lonely',NOT
'safe anyway liar never bottom liar',OFF
'correct watch bump next months suffer conservatives',NOT
'notice much keeps looking around looking little girl touch disgrace country #maga',NOT
'crying_face control vote blue american nightmare',NOT
'yessir',NOT
'loudly_crying_face loudly_crying_face loudly_crying_face',NOT
'hahahaha many fake cases hate liberals made sense election really liberals anything want cant really expect much people need safe attack people dont agree',NOT
'according student spoke condition johnson hall replaced even',OFF
'colin clown think going make point garbage look higher maybe higher floor offense',OFF
'antifa werent using violence wouldnt hope jokes violence',NOT
'great cuts fiscal policies well #winning #maga',NOT
'beto move support home',OFF
'lying comes easily liberals scary',NOT
'character call character',OFF
'weeks back awesome place awful behaviour adults skin fighter months clear confidence back blue_heart',NOT
'realize violent trump supporters comparison left antifa ring bell',NOT
'understand situation #wwg1wga #maga',NOT
'says blessing',NOT
'existence time block give break nobody funny comedian gave away power hate lost almost',OFF
'mentioned years economic pain referring imposed austerity',NOT
'weath',NOT
'robert mueller',NOT
'sides gotta stop',NOT
'fuck alan sorry',OFF
'party doesnt want',NOT
'suggesting thoughts &amp prayers wouldnt given picture science &amp',NOT
'damn right theres going wrong stuff',NOT
'poor best trumps sure',NOT
'good pretty awesome',NOT
'youre saying people opposed democrats antifa nazis claim',NOT
'dont know mean independent media read tell antifa fact violent leftists causing problems protests rightwing media liberal protestors antifa',NOT
'bullshit live daughter goes school cali considered clearly move fraud citizens',OFF
'handsome looks beautiful behind face_blowing_a_kiss face_blowing_a_kiss face_blowing_a_kiss',NOT
'growing fast loudly_crying_face',NOT
'youre #fakenews trying make desperation obstruction nothing #liberals &amp #democrats cares happened minor high school youre victim another metoo sexual misconduct baiter',OFF
'concrete facts dems good enough',NOT
'good speaker good #maga united_states',NOT
'conservatives think successfully nearly destroyed conservatism decades accept anything free trade label good anything',OFF
'sunshine sunshine beating_heart musical_notes',NOT
'know muslim socialist still believes thinks good politician tell many american gullible',OFF
'#cnn rest liberals clueless change',OFF
'reply think blocking',NOT
'lame outside cage killer',OFF
'isnt bill lgbt workers bill workers good record lgbt mean playing game argue bernie votes control lives black people chicago',OFF
'ignore best friend deserve fucking follow love heart waiting years folded_hands_light_skin_tone folded_hands_light_skin_tone folded_hands_light_skin_tone',NOT
'know',NOT
'responses beef took three months respond always takes month yall response shit',OFF
'fuck',OFF
'days shes witch must burned innocent',NOT
'lets accused people heard trump made',NOT
'outside pussy sister wanna talk',OFF
'&amp seriously manner bigoted platforms running label children black stay school #maga #kag',OFF
'true justice coming soon maga',NOT
'companies hire illegals commit crimes required cover legal fees fined hiring first place never solve problem strict laws passed',NOT
'every moment best moment world',NOT
'actually avoid everyone loves addicted pissing people color',NOT
'real control issue',NOT
'conservatives trying bill clinton idea',NOT
'doesnt leave country america',OFF
'round always didnt work time rude',OFF
'missing bone showing alright help back home much true isnt normal self much aggressive shes gonna support though',NOT
'fabric flag love patriotism',NOT
'attention list antifa names trump supporters high profile many everyday trump supporters reported twitter still suspended account check',NOT
'boobs mass belly',OFF
'obviously care ruin attacks conservatives left control blind',OFF
'brandon walk away protest march dangerous left always turns violence masked anything soros gift card know nothing violence capable understanding',NOT
'burn levis theyre wearing',OFF
'fuck raven saying shes mastermind didnt shit bitch sick annoying boring raven tyler playing great game even great player said good',OFF
'kirk douglas',NOT
'possess pass judgment honest judge kavanaugh flawed suspect judgment years long affair likes mayor willie brown career back trashy',NOT
'inspiration',NOT
'think mean alan',NOT
'access healthcare improved green jobs less civil rights control birth control sounds pretty great plan',NOT
'good grief',NOT
'confirm kavanaugh #nra control #nra vote protect given rights control #nra',NOT
'think eyes naturally',OFF
'mental health kind much less',NOT
'received death threats teenage daughters protecting family',OFF
'yaaass thanksred_heart',NOT
'well really really smart nothing woodward wrote book true good lord shit hear everyday really need oped book',OFF
'control kills people',OFF
'#walkaway party #maga',OFF
'monster hunt',NOT
'keep pelosi money #rednationrising #maga #walkaway',NOT
'late happy birthday hope great continue person lov',NOT
'wheres antifa alex jones found',NOT
'antifa happy dies',NOT
'youll spend final days hell',OFF
'stupid makes',OFF
'trump posts shit know something going',OFF
'control chicago needs right #maga',NOT
'need wild wild conservatives',NOT
'another post designed antifa trouble',NOT
'people give shit someones health know anyones health looking doctor know many super healthy people people',OFF
'cant help clean enough dont everything keep rest poor remember former claimed dont right water hate clueless conservatives',NOT
'shouldnt brought trump need insist proof lying trump wins either',NOT
'#maga empty rallies sheep towards',NOT
'surprised didnt shoot students prove control important glad dont send kids college waste money turning heads',OFF
'best player world right matter time world',NOT
'guilty liberals ploy',NOT
'making political issue died many peoples dying daily special death sympathy corrupt',NOT
'thanks large going nose reason asking people might want leave represent part many peoples',NOT
'',NOT
'courageous thumbs_up clapping_hands clapping_hands shed better shes charged hate crime #maga #buildthewall #lockthemallup',NOT
'goes show deluded several appointment fact keep getting thinking_face pouting_face',NOT
'inspiring many people play',NOT
'need know liberals represents party well',NOT
'sean #metoo movement women gotta stand jeff #maga #wwg1wga #confirmkavanaugh',OFF
'ready folded_hands revolving_hearts revolving_hearts revolving_hearts folded_hands',NOT
'every #maga',OFF
'anyone &amp week world ending friday give money &amp tomorrow knows everything listen #maga',OFF
'keep good work protect free speech call criminals #bbc #brexit #labour #conservatives #politicslive',NOT
'issue kids liberals ridiculous',OFF
'control works',NOT
'believe melania trump abused woman maybe physically definitely mentally husband afraid speak',OFF
'couldnt agree unions attacking turning press release wrote last year',NOT
'still feel missed never know senior next year doesnt help team',NOT
'wonderful talk mother speech today friend blessed strong family blue_heart',NOT
'house eyes waving_hand waving_hand waving_hand waving_hand',NOT
'demanding better time around kavanaugh always asking safe wrote right conservatives telling',NOT
'fuck yeah',OFF
'became became year loose weight hollywood doesnt look good weight gonna walk stalking might orders',OFF
'sadly given hypocritical unethical behaviour days view claims allegations made huge degree',OFF
'hate thinks irrelevant opinion matters bitch',OFF
'fuck',OFF
'hope work future good really liked drama',NOT
'needs play position even tracks back good thing finished',NOT
'stop_sign review news stop_sign backhand_index_pointing_right priceless moment rachel bill clinton hillary kavanaugh process #maga united_states #prolife',NOT
'michael said something similar today great tweets away follow',NOT
'maga hats',NOT
'looks jokes liberals #forttrump #poland #boomingeconomy',OFF
'next call game opportunity control issue face_with_rolling_eyes',NOT
'conservatives silent majority speaking haters lies fascists communists',NOT
'bitch please commie dems ones hell destroy democracy republic',OFF
'gross',OFF
'right need choose trudeau punk trump isnt worried country need decide want individual liberty government telling live wasting money',NOT
'donald trump never president',NOT
'#tories #labour #ge2017 #conservatives conservatives million people work security regular 2010 changed area',NOT
'know #liberals poll completely',NOT
'love spray skull',NOT
'dont remember shit beaming_face_with_smiling_eyes',NOT
'assuming people waiting gave',NOT
'property owner well group name',NOT
'need safety exercise',NOT
'welcom',OFF
'don',NOT
'dont know soros know right actions (antifa) play identity politics claim left violent thats helpful anyone',OFF
'isnt know',NOT
'devil unite',NOT
'maga patriots need',NOT
'sucks',NOT
'biden successfully ahead political career poster dregs society vote dems november',NOT
'unless face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',NOT
'john kerry swamp nothing nothing less know clown news network',OFF
'hope cheese wine pig_face #maga',NOT
