@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'theres zero evidence jobs thing platforms morals #conservatives #cdnpoli',TIN
'thank sick loudly_crying_fac',TIN
'eyes wont notice',UNT
'unhinged liberals &amp disgusting',TIN
'chance sexually assault girls high school explain crime &amp &amp altright &amp back obvious lies right',TIN
'hope',TIN
'yeah exact real people stop saying dumb shit internet',TIN
'eyes hear voice obama failed president every sense word #maga #kag united_states united_states united_states united_states united_states united_states united_st',TIN
'antifa thugs stupid enough someones wouldnt surprised thrown',TIN
'fascists antiamerican communist scum fuck piece human garbage #maga antifa terrorist',TIN
'remembered witch used make false claim good democrat hates republicans much willing ruin good mans name name power democrats crying',TIN
'brennan disgracewithout clearance grinning_face_with_big_ey',TIN
'general history held contempt',TIN
'antifa domestic terrorist organization george money domestic terrorist organization uses &amp violence spread',TIN
'attacked allowed question liars lied oath ne',TIN
'town hall questions public control people friends children murdered takes lying stupid hear',TIN
'know even close shes using term defend disgusting disgraceful vote party american people wonder much getting paid vot',TIN
'another democrat scam republicans dont fund terrorist groups antifa threaten people ahead make look r',TIN
'attack democratic liberals enough scam show vote kavanaugh',TIN
'shes narcissist',TIN
'great certainly anti fascist group antifa fascist violent groups america case noticed hate group america democratic parti',TIN
'watched press trump heard much make pays military base demented fool really believes goal america make money hear says isnt',TIN
'fucking mess hate much',TIN
'eric holder filthy',TIN
'yeah guess helped become murder capital world control work',TIN
'probably #maga',TIN
'shame rest left wing media jobs looking best example #fakenews bias #maga #walkaway bias corruption left',TIN
'waste ones united_st',TIN
'definitely antifa members getting kil',TIN
'says everything hang word porn left',TIN
'didnt elected people united states hell referring antifa fools asses pathet',TIN
'talking comment fascist means nothing said antifa',TIN
'facts matter plain &amp basic never happened history area fact happened donald trumps watch support failure',TIN
'failure whole lif',TIN
'people dont obey many guns north america people control liberal mind',TIN
'true point control total bullshit',UNT
'damn looks pretty shit',TIN
'control keep guns hands crimin',TIN
'white victim trump abusive animal',TIN
'maga grow',TIN
'whore',TIN
'absolut',UNT
'nail',TIN
'reason call common sense dont know want #maga',TIN
'bitch business face_with_tears_of_joy',TIN
'another fraud senator left',TIN
'look mirror mark crazy &amp',TIN
'ar15 fully assault rifle control works donald trump racist',TIN
'sport',UNT
'workers able decent liberals want working class poor',TIN
'kids chicago killing daily cause much good home state control right',TIN
'sexual abuse woman obviously lying believe remember every obvious woman come forward hurt conservatives truly hurting innocent women really abused',UNT
'cancel vote kavanaugh fall lying filthy liberals tell flake shut america sick left',TIN
'democrats care destroy matter republicans &amp conservatives',TIN
'band liars eric disgusting votes people dont really',TIN
'better call cruz piece perverted former prime example used decent republican conservatives need vote beto',TIN
'still hasnt young woman found dead office lying',UNT
'keep fighting',TIN
'check super creepy people pointing problem republican elect',TIN
'bitch know body ready face_with_tears_of_joy',TIN
'even kavanaugh said wade spewing narrative trump said',TIN
'americans sick anti america liberals plenty countries ideology already place mov',TIN
'plenty people taken favor common sense control doesnt mean shit dont plan common sense control really help empty',TIN
'antifa fire called cops said lawyer',TIN
'fuck',UNT
'face close bitch probably stuck lick',TIN
'story charged glad streets certainly concerned clueless cops',TIN
'sometimes mouth replace foot',TIN
'issues liberals conservatives fake republicans freaking',TIN
'obamas moving li',TIN
'calling important bigot apologize actions woman wont even defend explain despite many times asked alreadi',TIN
'work asses',TIN
'fuck',TIN
'admit made suck',TIN
'firearms call ar15 fully assault rifle push control donald trump racist hates russia',TIN
'talk shit play something dont know song fire later becomes song',TIN
'trash great coach wouldnt listen hate told coach keep hear',TIN
'little pussy saying shit behind peoples back',TIN
'sick person',TIN
'course conservatives breath awful human beings dont doubt victims story even',TIN
'control everything conserv',TIN
'okay thats enough shit dont care neith',TIN
'yeah made mostly fuck cool lunatic dick wants viol',TIN
'dont think place protest police violence whatever protesting really local protest taking doesnt makes look ignor',UNT
'hopefully shit really show',TIN
'gonna matter',TIN
'behind crimes back billy globalist needs call year sure time hillary',UNT
'dont trust right might shit',TIN
'shits #maga',TIN
'lost shit everyone class lmao',TIN
'dont forget international trade deals makes life less average working family liber',TIN
'yeah point article trying right defend character right character case woman feinstein pathetic',TIN
'good great control laws saving lives',TIN
'want know zero respect &amp antifa style attack kavanaugh thought going drop bomb face covered &amp blow good mans life exposed political hack sham',TIN
'donald taking blue folks every last lmao #maga folks suck',TIN
'another funding george soros follow money woman likely never knew judge kavanaugh liberals running scared judge conservative christians values dirty politician',TIN
'said gordon drugs called',TIN
'fallon woosi',TIN
'beyond crap affects americans liberals stupid wake understand whats really going step adult',TIN
'unhinged republican party question want wall control america illegal something unhinged republican party talk wall school shooting happens unhinged republican party',TIN
'beto jok',TIN
'everyone knows brown crazi',TIN
'look bullshit',TIN
'theyve brainwashed obama media theyre full hate conserv',TIN
'happened kids still alive fraud',TIN
'fuck acted father girl killed instead telling much loves girls tell truth really doesnt give shit killed crazy whit',TIN
'obviously bitch',TIN
'correct democratic party slavery control',TIN
'looks middle shitting pants must',TIN
'clear &amp everything &amp hoping conservatives elected politics &amp government much longer',TIN
'dont understand going',TIN
'know loudly_crying_face face_with_tears_of_joy',TIN
'still solution make schools preach',TIN
'investigation isis attack worst case attack',TIN
'liberals fool',TIN
'prove',TIN
'read pile garbage wrote national calls article liberals losing minds president investigated collusion foreign government anyone supreme court',TIN
'issues lady government uses taxes support planned said really life stop supporting taxes help israel kill school children',UNT
'disgusting find reason save 100% wrong',TIN
'please every network bullshit obviously stop pretending political show',TIN
'idiots right hated conserv',TIN
'bitch mean',TIN
'watch justify control agenda #gunsense dishonest',TIN
'moment guys dumb fire shit need half body half stomach',TIN
'liberals trying destroy conservative time charge jail liars destroy',TIN
'fucking great love death problem',TIN
'judicial watch records justice department official #tcot #maga #rednationris',TIN
'lying shit',TIN
'cant nigga retard',TIN
'point australian dont free speech hate speech laws people enough point room',TIN
'amazing dems always ones hear',TIN
'straight never support another team',TIN
'trump fans bullies antifa movement need',TIN
'documents must getting close crook',TIN
'removed rest',TIN
'bitter hateful woman ruin',TIN
'strict control lets thugs gang guns means viol',UNT
'right total right gonna suck',TIN
'another dont think anyone wants amendment majority want sensible control form better background checks banning assault trump anything base',TIN
'thats throw race forget happened white women accused bill clinton sexual allegations liberal democrats around liberals disgusting disgraceful human beings',TIN
'cancel moment said slavery choice rock maga',UNT
'sick head lost',TIN
'fuck money',UNT
'playing dirty liberals point',TIN
'cant believe didnt work pizza alex jones conservatives lost',TIN
'thing know didnt write dumber rock',TIN
'needs every american people disgrace senate peopl',TIN
'much laugh excuse besides plain shit',TIN
'fact longer tries give sides story instead gives side #antifa left liberals gods look dont even enough',TIN
'said away ammo talking control said maybe didnt mean proving leftist thats fine still dont trust',TIN
'liar',TIN
'hollywood media make jokes jesus christians think thats hilarious turn every innocent joke conservatives tell outrage typical',TIN
'legit shit',UNT
'fuck yeah',UNT
'probably referring fact started whos apparently shit apparently years mean field face_with_tears_of_joy face_with_tears_of_joy',TIN
'lying public doesnt trust',TIN
'either shame going sham',TIN
'another',TIN
'shows ugly party system liberals actually straight need leave democratic party party hatred',TIN
'great book pope last pope corruption evil forces controlling',TIN
'hate fucking sorri',UNT
'hear liberals loved supported grew times knew gone wrong supported serv',TIN
'nigga',TIN
'lindsey talks simply hear news weird agenda supported well facts really fool trump',TIN
'every telling happened children clearly dont believe shit happened another tactic liber',TIN
'thinks youre full shit',TIN
'need find lady thing terrorist waiting',TIN
'open everyone really shame liber',TIN
'dumber week',TIN
'filled nerve mock #conservatives unemployment lin',TIN
'something dont seem right year long shootings talk control makes think government behind crap',TIN
'bafoonicu',TIN
'never going happen million years unless soros bunch antifa',TIN
'stealing hitting average hitting playing good defense definitely young look numbers',UNT
'hell think doesnt mean guilty women accused voice right clear name needs',TIN
'today collins back another excuse vote disgusting every wont stop working common',TIN
'good shit',UNT
'anyone think lying opportunist',TIN
'bullshit people died incompetent government puerto rico start mayor stop lying gutierrez',TIN
'really bitch',TIN
'remember might apply chicago',TIN
'another made word used liberals attempt criticism ridiculous',TIN
'america destroyed president cancer democraci',TIN
'sure shes worried give break dana know make living healthcare dirt dont even crying control',TIN
'billy thumbs_up',TIN
'100% death threats thing disgusting party says antifa dangerous resistance group kavanaugh family death threats minds want know',TIN
'face_with_tears_of_joy face_with_tears_of_joy',UNT
'fucking behind dud',TIN
'sure woman mostly throw mean ugly feminist women penis',TIN
'poor #maga',TIN
'crazy person',TIN
'conservatives trash party canada',TIN
'republican party dont anything control people killed reason republican party dont anything killing republicans trying america',TIN
'even career start album hype zero release album face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hype zero',TIN
'fool denying ones free speech free speech',TIN
'mother fucking apple shut fuck trying twitter face_with_tears_of_joy',TIN
'shes liberal professor always spewing hatred conservatives youre going hell rest',TIN
'hope bankrupt soon',TIN
'strong character anybody bitter sore loser',TIN
'human',TIN
'stop_sign news stop_sign senate pass bill',TIN
'apparently running',TIN
'order money amazing dishonest spreading fake new',TIN
'dumb clueless pushing dream fools office',TIN
'back liberals stupid crying favor past future victims rape assault said stupid',TIN
'carrey sick',TIN
'eric evil',TIN
'lying leftist',TIN
'death threats antifa sitting outside house republicans social media',TIN
'gutierrez youre liar thats guys good',TIN
'sexi',TIN
'good disgusting human',TIN
'really miss thank girl',UNT
'nigga los',TIN
'american women allowed continue babies hitler killed babies liberals pathetic crooked children except babi',TIN
'maybe need control lefties handle',UNT
'fake prove',TIN
'evil body christ known leaders catholic church',UNT
'told theres group israel &amp america controlling foreign decades using lies &amp believe #maga #americafirst',TIN
'control fucking wouldnt shit',TIN
'left hand right brain left right left brain',TIN
'sick pervert gets',TIN
'want corrupt bitch gitmo',TIN
'anita hill liar liar',TIN
'social home child complain bullying behaviour teachers super',TIN
'americans want form control americans want government protect environment americans immigration good thing &amp 100% americans believe belong &amp dont suck',TIN
'john kerry potus getting done democrats tried cash &amp funds &amp obamas crooked deal helped fund walk',TIN
'according hurricane trumps fault trumps fault trump hillary tru',TIN
'mean h',TIN
'know belongs violent liberal antifa party hoods beat total strangers &amp funded party violent &amp corrupt party trying &amp believe heart hard sell anyone including vot',TIN
'nerve saying 2019 thats block soon dream fail full majority 2019 please dont wake dream getting seat',TIN
'muslim need',TIN
'ford everything vote #maga #confirmkavanaughnow',TIN
'dont forget trumps fault make worst forgot tell hurricane trumps fault',TIN
'politically correct speech control laws attacks constitution hypocrisy show',TIN
'crazy',TIN
'must',TIN
'allowed wife abused years covered everyone including wife help lies never thought anyone',TIN
'plenty work full still find home bullshit',UNT
'shit',TIN
'liberals dont give soul',TIN
'bitch',TIN
'might well info info crap media empty brains wonder control universal background checks #gunsense',TIN
'fuck wall american white black kill control help',TIN
'always blue dont seem much except helping socialist',TIN
'sensible control help mentally people guns people orders guns needs',TIN
'reason dont',TIN
'dumb',TIN
'#maga #walkaway',TIN
'means nothing always none come true sure still follow starting realize full crap',TIN
'cuter shhhh',TIN
'maxine waters threatening violence president president come washington capital police sleeping democrats crim',TIN
'drunk tell little character alone seems likely conservatives order means using social',TIN
'part hoping hard working american',TIN
'beautiful sexy smiling_face_with_hearteyes face_blowing_a_kiss',TIN
'dont know fact claim bullshit imagine never clean regulations years wait dont look quality china thats conserv',TIN
'shes looking',TIN
'thinks funny shes shes disgust',TIN
'regarding story think going kill president never follow case guns whats police bring light control issue',TIN
'whore mayor stealing money funded dems bash potus country power knows theres enough',TIN
'saying youre live north',TIN
'horrible',TIN
'even brother thinks monst',UNT
'lotto',TIN
'control crowd illegal immigrants country',TIN
'women lose credibility women liberals movement women really abused disgust',TIN
'liberals mock president trumps skin color threaten family even',TIN
'cause opinion different guess makes bigot',TIN
'death means thumbs_up',TIN
'youre antifa shit brains queen needs lick',TIN
'know ar15 educate close dont know talking pouting_face pouting_face pouting_fac',TIN
'agree intelligent latest policy wealth fund something long supported doesnt someone party tim',TIN
'disappointed serena wrong dont disrespectful serena apologize &amp',TIN
'theyre',TIN
'biggest hypocrite country embarrassing sen',TIN
'prison time youre going face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy #maga #qanon',TIN
'hard believe female liberals personal political gain',TIN
'ummm people shouldnt face_with_tears_of_joy',TIN
'well must fuckin someone',UNT
'damn cute',TIN
'beyond moron',TIN
'hypocrisy liberals last year sexual working govern',TIN
'usual republican charge quickly things pulled liberals people stay power bright',UNT
'even close happened liar idiotic actions court look',TIN
'dont believe shes even getting death threats conservatives dont &amp',TIN
'white slave',TIN
'abuse liberals',TIN
'need start movement worse antifa',TIN
'liberals seeing presidents disgusting penis room horrible cant stop thinking member',TIN
'#kavanaugh issues response view deserves defend reputation completely false never done anything anyon',TIN
'perfect seat',TIN
'show must must crazy liberals screaming throwing animals hearings going another',TIN
'breaking rules running democrat speaking sensible control woman told laws allowed daughter kill &amp change laws',UNT
'face_with_tears_of_joy',TIN
'blaming thats pretty rich considering done zero want sen',TIN
'thats racist nose doesnt even look typical black woman racist',TIN
'best season doesnt mean greatest rolling_on_the_floor_laughing fuck',TIN
'dumb wear next',TIN
'going suck without isnt really cash grab',UNT
'imagine living elected president american republic control supreme court trying #maga united_st',UNT
'shit said tweet face_with_tears_of_joy face_with_tears_of_joy',TIN
'knew werent real republican committed party need leave disgrace every member work towards constantly potus quit alreadi',TIN
'youre mind prevent control evil',UNT
'haha hard sure correct trump really literally company jok',TIN
'women victims truly liberals wouldnt know hurt real women really need help',TIN
'civil rights right kill child right people control laws save lives children sink',TIN
'running lower fuck',TIN
'open world games need game nigga',UNT
'dont want health care want rich people less taxes dont care dont want control afraid immigrants full hate control govern',TIN
'talks dumber looks maga',TIN
'view despicable show everyone always says',UNT
'feel sorry voters good choice',TIN
'juan know side pretty much know going listening watching better',TIN
'leftist collusion parti',TIN
'sexual assault #trump family time #maga girls stay',TIN
'especially play good religious interview seriously imagine pulling crap interview &amp imagine interview supreme court justice much time talking',TIN
'fuck yeah',TIN
'empty soul',TIN
'away child boring cant even pile_of_poo',TIN
'nobody cares paid police need hold lock',TIN
'nigga',UNT
'fake info people forget &amp tear religious books prove stupidity fight cause moral mean',TIN
'back better',TIN
'anyone surprised president commit treason russia elected pick rapist supreme #maga #kavanaugh',TIN
'sucks team',TIN
'fucking hunt',TIN
'cant stupid #maga #qanon #thursdaythoughts #drainthedeepstate #wwg1wga #walkaway',TIN
'knew find liberals fault face_with_rolling_ey',TIN
'fuck abuse watched match',UNT
'long might make sens',TIN
'brett kavanaugh supposed selling point midterm elections become enough lies away liberals listening ignorant stories pouting_face pouting_face pouting_face pouting_fac',TIN
'conservatives become parti',TIN
'free thought shit lmaoooo',TIN
'liberals sick disgusting animals brain',TIN
'women meant look even dont give shit',TIN
'control activist david used shoot',TIN
'long thought liberals children adult bodi',TIN
'course remembered biggest hypocrite history change rules constantly',TIN
'nose know loud mouth punk media using promote control lines order bring attention control debate knows noth',TIN
'upon surely fault',TIN
'deranged left make little boys really going happen pure evil #votedemsout #maga',TIN
'good',TIN
'shyt',TIN
'broke little might cause desperate actions thats',TIN
'limit',TIN
'seriously really believe crap dont move offensive ugly side',TIN
'never planned quickly liberals never learn know tactics actions &amp know think &amp research thats hate cant control',TIN
'well shootings keep happening stupid laws time americans woke something keep happening going help proper control law',TIN
'theyre fucking',UNT
'national full people mean paying people cause violence spoke antifa official group terrorist',TIN
'serena bully throat line judge open points away losing went point lost match threats shes bulli',TIN
'left become bunch thugs',TIN
'tired answer phone shit thats even worth face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',UNT
'love dont give isnt mentally dangerous idiot',TIN
'calls knows smarter',TIN
'joke lefties behaviour disgusting',TIN
'freak',TIN
'talk worst year player histori',TIN
'woman nothing play tennis constantly disrespectful insane whole',TIN
'lets play game side openly advocating race &amp promoting supporting group brown shirts calling control wanted',UNT
'child retard',TIN
'mean communist antifa people coming defense despite shit political team sports dumb',TIN
'assholes going jail happened paid company mueller know',TIN
'mean',TIN
'traitor',TIN
'pick fuck',TIN
'people always bullshit &amp missing anything another person cant shit together &amp better time anyway',TIN
'stupid',TIN
'delusional college corruption cronies ruin almost #voteredtosaveamerica #maga united_states united_states united_st',UNT
'well always porn title going love porn',TIN
'domino',TIN
'tried shit positive work isnt kind pedo garbag',TIN
'uneducated sports sport looks jok',UNT
'conservatives tweet',TIN
'voice domestic violence lobby #cdnpoli',TIN
'another need common sense control legislation documents alleged mass thought wife',TIN
'going tell time fuck block report whos current presid',TIN
'maga nothing innocent satan',TIN
'realize radical tweets sound right trying antifa',TIN
'looks sucking goes hear',TIN
'hopefully team',TIN
'mouth &amp evil friend opinion',TIN
'shit tim',UNT
'needs serious help anger case',TIN
'chance blew',TIN
'need control right wait guess doesnt stop criminals abiding citizens known think want control disarm',TIN
'dick sell quick',TIN
'cities policies promote growth lack daily killings control issue',TIN
'didnt money accounts stuff everything hope',TIN
'liberals democrats demand well said start thread careful wish',TIN
'want #maga stop china away china give business countries business move countries make look weak china crook',TIN
'omghe leg',TIN
'weird debate control debate laws allow people guns kill people shocked guns used kill people',UNT
'greatest economy jobs blacks hispanics history ms13 illegals daily back trump corruption',UNT
'look gordon deep threat hurt need come play',TIN
'waiting mean florence gonna',TIN
'piece human trash going away nobody cares constantly thinks trump acted call going live telling people attack conserv',TIN
'anyone supports control racist',TIN
'stands care human',TIN
'fucking suck',UNT
'youve become another nail trump',TIN
'communist daddy #maga',TIN
'dont support control support says read history find part reason',TIN
'something must wanna someone gives beating first lets around black women much better find white people much bright',TIN
'another touch american',UNT
'deplorable dregs society says make criminals think #maga #wwg1wga #qanon #draintheswamp',TIN
'glad worked hard shame thing understand talk write',TIN
'penis definitely face_with_tears_of_joy #maga',UNT
'look mirror lefties bigger bullies antifa progressive leftist trying right',TIN
'saying niggas nike military racist military fuck nike face_with_tears_of_joy',TIN
'always li',TIN
'said things liberals president trump immigrants trying people country &amp follow rules come come criminal turn &amp another point view',TIN
'antifa',TIN
'babies arent future suppose sucking dead putting trash thats th',TIN
'obama preach control drug mexico advocate open borders piece shit worth obama',TIN
'wrong time long piece carry',TIN
'hero',UNT
'last night watched whole never heard started talking platform liberals ruin everyth',TIN
'shit',UNT
'line suck',TIN
'nigga made knows brought back',TIN
'unhinged liberals scared wont able murder babies normal people common sense fake accusation',TIN
'another brat antifa thug lock comes another except raped middle room stuck mouth prove wrong',TIN
'plenty conservatives work afraid share racism hate democrats',TIN
'fuck fuck although conservatives fucking right',TIN
'seeing post legislation control hand legislation need support mental individual',TIN
'probably death threats votes likely lots support #maga vot',TIN
'rest america swamp washington washington worst place decide whats good america',TIN
'democrats continue rapist democrats republicans allow rapist president isnt',TIN
'cant believe fucking died face_blowing_a_kiss weary_face red_heart',TIN
'dont shit',UNT
'white liberals easily worse bigots nothing coward wants keep kind identity politics thank people seeing evil',TIN
'boss conservatives shouldnt made weak leader wouldnt happened tries left wing freedom speech coward takes positions trudeau',TIN
'need away wants media advocating control',TIN
'gods part lets hope conservatives part stay polls dems desperate fraud',TIN
'obama holder cops getting killed year hated enforcement civil',TIN
'control disgrace unamused_fac',TIN
'dumb',TIN
'please bitch lump dumb sister skul',TIN
'lost half fans getting involved politics believe support open borders control much dope guess common',TIN
'mean forced democrats liberals racist people dont problem',TIN
'govt policy labour conservatives decades never likely sadly effect',UNT
'fake news right mind along',TIN
'standard trudeau canadians think canadians stupid',TIN
'empathy president presidential trump',TIN
'awesome awesome dont call shit movie well bitch fired left',TIN
'believe step worse according sociopath narcissist',UNT
'never rest career hope season cause thats good nic',TIN
'good miss follow seems idiot &amp think perfect even though disagree still looking better model america',TIN
'fuck dont start working soon whole shit',TIN
'gonna antifa idiots shot fast face_with_tears_of_joy face_with_tears_of_joy dont even realize really aware whats going around',TIN
'favorite play mass real lif',TIN
'think knows going lose anyway nothing lose battle suicide think unfortunately stay new',TIN
'agree antifa arrested start',TIN
'dont remember time liberals believ',TIN
'control enough enough',UNT
'lost soul father real good',TIN
'nut',TIN
'support control',TIN
'prosecuted waste beautiful person ruined family friends lives know little loved',TIN
'swear niggas make wanna turn',TIN
'conservatives person believe need become elections dont well dishonest dems think violence worse conservatives need able defend loved',TIN
'every western country thats mass shootings control lying',TIN
'treason free america antifa',TIN
'even obama trade trump trade mess #maga',UNT
'democratic socialism #maga #kag',TIN
'state level crime alleged silly liberals crime committed kavanaugh probably liar ford',TIN
'blood hands control',TIN
'thing fascist left antifa socialists democrats folks right fascism look trump attacks rule putin',TIN
'keep nonsense democrats midterms taxes youll able page everyone universal health care control save lives learn',TIN
'dick durbin figures lies enough people start believe right leftist playbook',TIN
'sexi',TIN
'think racist touch reality reality show empathy suffering tell truth mentally incapable president countri',TIN
'fired arrested clearly using drug',TIN
'well really sure went claiming punch women asshole completely wrong tweet nothing clear fact suck',TIN
'kick absolute shit',TIN
'good example cant ar15 someone used control pussi',UNT
'wont looks never takes tim',TIN
'stop spreading false news hurt enough dont need shit',TIN
'shit',UNT
'obama done nothing problem office going telling stories trump able hope control',TIN
'disgusting need politics corrupt kind politicians americans tired country brett kavanaugh voted americans stand',TIN
'fuck',UNT
'even chris said people stop first warning second warning serena kept going sucks ended keep arguing making comments second warning expect',TIN
'fools respect',TIN
'fucking league football',TIN
'guilty',TIN
'broken gonna able demon gonna cool using every',TIN
'half apology goes away conservative anything close ruined life mentally deranged liberals totally disgusting jerk',TIN
'sound stuck record dont find something less boring instead',TIN
'kerry needs prosecuted iran needs done quickly security &amp remove',TIN
'metoo movement democrats &amp hate group antifa another form agenda metoo people jump name justice mass bullying threaten',TIN
'cant tell story whore life fuck people money except',TIN
'trump started mess stop doesnt part problem',TIN
'traitor think',TIN
'political slap face women really abused liberals know leader told whatever power pathet',TIN
'mother spoiled heck still loves brat things happen brat deserves still child realize',TIN
'years republicans obamas outrage phony fake presid',TIN
'lmao',TIN
'indeed follow sometimes',TIN
'went high school dumb liberals area',TIN
'hate solution change playbook los',TIN
'totally question making millions dollars still make living uneth',TIN
'lost believ',UNT
'dont pigs dont life outrage bill clinton keith ellison hypocrites #maga',TIN
'maybe consider instead theresa isnt real name shes conservatives terrorist',TIN
'says stands sensible control',TIN
'outrage something credible instead #maga',TIN
'people love david think roger waters dick',TIN
'advocating ridicul',TIN
'thats #walkaway waters zero control demon within thats happens &amp stupid folks devil satan 2016 #americafirst #maga',TIN
'fucking',UNT
'fucking little',TIN
'cares sick head',TIN
'ummm theres video coach literally lmao maybe read strong shitty opinion',TIN
'kerry nothing damn politician going trying president traitor sure better watch',TIN
'especially fascist nazi tell people pathetic sham',TIN
'arent conservatives religious isnt republican party denounce denounce antifa',TIN
'understand america reading share knowledge american fellow citizens #maga #kag',TIN
'criminal deserves fir',TIN
'inciting violence twitter accounts supporting potus made',TIN
'eric holder prison',TIN
'fucking fast holy shit',UNT
'good shit great model young kids play football stand believ',TIN
'holy shit better drinking eating',TIN
'dead mass shooting bank building deep state fake news crisis actor control bullshit',TIN
'loved hate brown show really screwed kids back please favorite &amp jerry maybe show',TIN
'never talk shut',TIN
'bullshit daughters watched tennis match deserved williams fans',TIN
'know look outside lost shit head',TIN
'nigga tweeting hope',TIN
'explains leftists',TIN
'antifa creep trying look cant help',TIN
'fuck',UNT
'worst expect consider personally gain confirm',TIN
'busy monst',TIN
'come dirty pervert point',TIN
'think everyone read means question referring case effect',TIN
'antifa hate disagree hypocrit',TIN
'history time better left united_states united_st',TIN
'local national news youd follow anyone outside liberal know majority conservatives',TIN
'quiet shedevil',TIN
'sexual assault folded_hands #maga want know &amp thumbs_up',TIN
'pointing umpire calling walking fast toward official calling moron think clear needs help',TIN
'thanks time hahaha',TIN
'pedophiles catholic church',TIN
'liberals wonder dont want bathroom',TIN
'maybe cause hateful',TIN
'whatever sabotage liberals acting completely respect millions legal voters voted',TIN
'going system know criminal easy rather simple person',TIN
'make best country though nothing special throw make butt hurt',TIN
'puppet dont move back works mouth noth',TIN
'holder total disgrace offic',TIN
'fool',TIN
'definitely thats sure shes professor university folks #trump #maga',TIN
'quite obvious morons star totally canada already extremely tight control laws criminals never never special kind stupid believe',TIN
'beto clown supports thug',TIN
'proper despite corruption organ',TIN
'liberals decide tight ey',TIN
'cant legit watching move',TIN
'funny even woman brought wade later thing abortion &amp another liberals killing children &amp pretending health car',TIN
'youre literally white enemies state youre lucky youre federal terrorists states place soon enough #antifa',TIN
'fuck alreadi',TIN
'unfit office mentally deranged',TIN
'funny fuck',TIN
'liberals real trump',TIN
'course werent interested domestic abuse still domestic abuse hope didnt fake shit actually care domestic',UNT
'brain still somewhere lost liberals plain delusional matter oncoming_fist',TIN
'american terrorists need strict thugs stop',TIN
'sucks killing team',TIN
'help mental good liberals seriously',TIN
'female thats fucken queen right hands argue face_blowing_a_kiss',UNT
'husband crooked fake throwing paper lost reality dont know help needs lots help',TIN
'surprising conservatives want power life death away govern',TIN
'liberals complain',TIN
'antifa domestic terrorist group',TIN
'fuck yeah',UNT
'whole department ashamed cover shame nothing department situation criminal showing dont care citizens',TIN
'hospital shot dead blames control law',TIN
'send piece pile_of_poo wouldnt nice great build wall time time hillary clinton',TIN
'thats need bring control even better shoot foot real well going school shooting',TIN
'shame',TIN
'wrong white proud american woman happen white represent soooo done identity politics liber',TIN
'needs quickly music sucks cares political views unfortunately ignorant realize concert went political completely ruined',TIN
'safe anyway liar never bottom liar',TIN
'according student spoke hall even',TIN
'clown think going make point garbage look higher maybe higher',TIN
'beto move support hom',TIN
'character call',TIN
'existence time block give break nobody funny comedian gave away power hate lost almost everyth',TIN
'fuck sorri',TIN
'bullshit live daughter goes school considered clearly move fraud citizen',TIN
'youre #fakenews trying make nothing #liberals &amp #democrats cares happened high school youre victim another metoo sexual',TIN
'conservatives think nearly destroyed decades accept anything free trade label good anything',TIN
'know muslim socialist still believes thinks good politician tell many american',TIN
'rest liberals clueless',TIN
'outside killer',TIN
'isnt bill workers bill workers good record mean playing game argue bernie votes control lives black people chicago',TIN
'took three months respond always takes yall response shit',TIN
'fuck',UNT
'outside pussy sister wanna talk',TIN
'&amp seriously platforms running label children black stay school #maga #kag',TIN
'doesnt leave country america',TIN
'round always didnt work time',TIN
'boobs mass',TIN
'obviously care ruin attacks conservatives left control blind',TIN
'burn levis theyre wearing',UNT
'fuck saying shes didnt shit bitch sick boring playing great game even great player said good',TIN
'think eyes',UNT
'received death threats daughters protecting',TIN
'well really really smart nothing wrote book true good lord shit hear everyday really need book',TIN
'control peopl',TIN
'#walkaway party #maga',UNT
'youll spend days hell sink',TIN
'stupid makes',TIN
'trump posts shit know something going',TIN
'people give shit someones health know health looking know many super healthy people peopl',TIN
'surprised didnt shoot students prove control important glad dont send kids college waste money turning head',TIN
'#metoo movement women gotta stand jeff #maga #wwg1wga #confirmkavanaugh',TIN
'every #maga',TIN
'anyone &amp week world give money &amp tomorrow knows everything listen #maga',TIN
'issue kids liberals ridicul',TIN
'believe trump abused woman maybe physically definitely mentally husband afraid speak',TIN
'fuck yeah',TIN
'year hollywood doesnt look good gonna walk might orders',TIN
'sadly given hypocritical behaviour days view claims allegations made huge',TIN
'hate thinks irrelevant opinion matters bitch',TIN
'fuck',UNT
'looks jokes liberals',TIN
'bitch please dems ones hell destroy democracy',TIN
'gross',TIN
'welcom',TIN
'dont know soros know right actions play identity politics claim left violent thats anyon',TIN
'john kerry swamp nothing nothing less know clown news network',TIN
'everyone life story excuse anyone blame show clearly well &amp shouldnt position happen allowed eith',TIN
'yall gonna fight control yall literally pulling shoot',TIN
'party violent liberal antifa hoods beating strangers know nothing great &amp honest good keith ellison women',TIN
'bitch love',UNT
'honestly know stupid actually surprising dumb easily people country hell shit every white screaming maga',TIN
'vote know found fraud',TIN
'totally narcissist comment umpire never long lives think disgrace sport',TIN
'coward cant feel judge others looks sure people call',TIN
'shitty thats',UNT
'bitch daily lov',TIN
'asking question senator acting baby really shame sham',TIN
'fuck',TIN
