@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'legit shit funny',UNT
'fuck yeah',UNT
'probably referring fact started whos apparently shit apparently years mean field face_with_tears_of_joy face_with_tears_of_joy',TIN
'lying public doesnt trust anymore',TIN
'either shame going shame',TIN
'another',TIN
'shows ugly party system liberals actually straight need leave democratic party party hatred leave',TIN
'great book pope last pope corruption evil forces controlling decades',TIN
'hate fucking sorry',UNT
'hear liberals loved supported grew times knew gone wrong supported',TIN
'nigga',TIN
'lindsey talks simply hear news weird agenda supported well facts really fool trump',TIN
'every telling happened children clearly dont believe shit happened another tactic liberals',TIN
'thinks youre full shit',TIN
'need find lady thing terrorist waiting',TIN
'open everyone really shame liberals',TIN
'dumber week',TIN
'filled nerve mock #conservatives unemployment line',TIN
'something dont seem right year long shootings talk control makes think government behind crap',TIN
'bafoonicus',TIN
'never going happen million years unless soros bunch antifa',TIN
'stealing hitting average hitting playing good defense definitely young look numbers',UNT
'hell think doesnt mean guilty women accused voice right clear name needs',TIN
'today collins back another excuse vote disgusting every wont stop working common',TIN
'good shit',UNT
'anyone think lying opportunist',TIN
'bullshit people died incompetent government puerto rico start mayor stop lying gutierrez',TIN
'really bitch',TIN
'remember might apply chicago',TIN
'another made word used liberals attempt criticism ridiculous hypocrisy',TIN
'america destroyed president cancer democracy',TIN
'sure shes worried give break dana know make living healthcare dirt bags dont even crying control',TIN
'billy thumbs_up',TIN
'100% death threats thing disgusting party says antifa dangerous resistance group kavanaugh family death threats minds want know',TIN
'face_with_tears_of_joy face_with_tears_of_joy',UNT
'fucking behind dude',TIN
'sure woman mostly throw mean ugly feminist women penis',TIN
'poor #maga',TIN
'crazy person',TIN
'conservatives trash party canada',TIN
'republican party dont anything control people killed reason republican party dont anything killing republicans trying america',TIN
'even career start album hype zero release album face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hype zero',TIN
'fool denying ones free speech deny free speech',TIN
'mother fucking apple shut fuck adults trying twitter face_with_tears_of_joy',TIN
'shes liberal professor always spewing hatred conservatives youre going hell rest bags',TIN
'hope bankrupt soon',TIN
'strong character anybody bitter sore loser character',TIN
'human',TIN
'stop_sign news stop_sign senate pass bill',TIN
'apparently running',TIN
'order money amazing dishonest spreading fake news',TIN
'dumb clueless pushing dream fools office',TIN
'back liberals stupid crying favor past future victims rape assault said stupid',TIN
'carrey sick',TIN
'eric evil',TIN
'lying leftist',TIN
'death threats antifa sitting outside house republicans social media',TIN
'gutierrez youre liar thats guys good',TIN
'sexy',TIN
'good disgusting human',TIN
'really miss thank girl',UNT
'nigga lose',TIN
'american women allowed continue babies hitler killed babies liberals pathetic crooked children except babies',TIN
'maybe need control lefties handle responsibility',UNT
'fake prove',TIN
'evil body christ known leaders catholic church',UNT
'told theres group israel &amp america controlling foreign decades using lies &amp believe #maga #americafirst',TIN
'control fucking wouldnt shit',TIN
'left hand right brain left right left brain',TIN
'sick pervert gets',TIN
'want corrupt bitch gitmo',TIN
'anita hill liar liar',TIN
'social home child complain bullying behaviour teachers super active',TIN
'americans want form control americans want government protect environment americans immigration good thing &amp 100% americans believe belong &amp dont suck',TIN
'john kerry potus getting done democrats tried cash &amp funds &amp obamas crooked deal helped fund terrorism walk',TIN
'according hurricane trumps fault trumps fault trump hillary true',TIN
'mean hate',TIN
'know belongs violent liberal antifa party hoods beat total strangers &amp funded party violent &amp corrupt party trying tears &amp believe heart hard sell anyone including voters',TIN
'nerve saying 2019 thats block soon dream fail full majority 2019 please dont wake dream getting seat',TIN
'muslim need remember',TIN
'ford everything vote #maga #confirmkavanaughnow',TIN
'dont forget trumps fault make worst forgot tell hurricane trumps fault',TIN
'politically correct speech control laws attacks constitution hypocrisy showing',TIN
'crazy ones',TIN
'must says',TIN
'allowed wife abused years covered everyone including wife help lies never thought anyone total',TIN
'plenty work full still find home bullshit public',UNT
'shit',TIN
'liberals dont give',TIN
'bitch',TIN
'might well info info crap media empty brains wonder control universal background checks #gunsense',TIN
'fuck wall american white black kill control help',TIN
'always blue dont seem much except helping socialist',TIN
'sensible control help mentally unstable people guns people orders guns needs zombie',TIN
'reason dont wife',TIN
'dumb',TIN
'#maga #walkaway',TIN
'means nothing always none promises come true sure still follow starting realize full crap',TIN
'cuter shhhh',TIN
'maxine waters threatening violence president president come washington capital police sleeping democrats crime',TIN
'drunk tell little character alone seems likely conservatives order means using social order',TIN
'part hoping hard working americans',TIN
'beautiful sexy smiling_face_with_hearteyes face_blowing_a_kiss',TIN
'dont know fact claim bullshit imagine never clean regulations years wait dont look quality china thats conservatives',TIN
'shes looking bitter',TIN
'thinks funny shes shes disgusting',TIN
'regarding story think going kill president never follow case guns whats police bring light control issue bias',TIN
'whore mayor stealing money funded dems bash potus country power knows theres enough replace',TIN
'saying youre live north',TIN
'horrible face_vomiting face_vomiting face_vomiting',TIN
'even brother thinks monster',UNT
'lotto',TIN
'control crowd illegal immigrants country armed',TIN
'women lose credibility women liberals movement women really abused disgusting',TIN
'liberals mock president trumps skin color threaten family even',TIN
'cause opinion different guess makes bigot',TIN
'death means thumbs_up',TIN
'youre antifa shit brains queen needs',TIN
'know ar15 educate close dont know talking pouting_face pouting_face pouting_face',TIN
'agree intelligent latest policy wealth fund something long supported doesnt someone party time',TIN
'disappointed serena wrong dont disrespectful serena apologize &amp',TIN
'theyre quality',TIN
'biggest hypocrite country embarrassing senator',TIN
'prison time youre going face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy #maga #qanon',TIN
'hard believe female liberals personal political gain',TIN
'ummm people shouldnt face_with_tears_of_joy',TIN
'well must fuckin someone',UNT
'damn cute',TIN
'beyond moron',TIN
'hypocrisy liberals last year sexual working government',TIN
'usual republican charge quickly things pulled liberals people stay power',UNT
'even close happened liar idiotic actions court looked',TIN
'dont believe shes even getting death threats conservatives dont &amp soros',TIN
'white slave owners',TIN
'abuse liberals',TIN
'need start movement worse antifa dogs',TIN
'liberals seeing presidents disgusting penis room horrible cant stop thinking member',TIN
'#kavanaugh issues response view deserves defend reputation completely false never done anything anyone',TIN
'perfect seat',TIN
'show must must crazy liberals screaming throwing inside animals hearings going another',TIN
'breaking rules running democrat speaking sensible control woman told laws allowed daughter kill &amp change laws',UNT
'face_with_tears_of_joy',TIN
'blaming thats pretty rich considering done zero want senator',TIN
'thats racist nose doesnt even look typical black woman racist',TIN
'best season doesnt mean greatest rolling_on_the_floor_laughing fuck',TIN
'dumb wear next game',TIN
'going suck without isnt really cash grab',UNT
'imagine living elected president american republic control supreme court trying #maga United_States',UNT
'shit said tweet face_with_tears_of_joy face_with_tears_of_joy',TIN
'knew werent real republican committed party need leave disgrace every member work towards solutions constantly potus quit already',TIN
'youre mind prevent control evil',UNT
'haha hard sure relate correct trump really literally company jokes',TIN
'transparency women victims truly liberals wouldnt know hurt real women really need help',TIN
'civil rights right kill child right people control laws save lives children',TIN
'running lower fucker',TIN
'open world games need game niggas',UNT
'dont want health care want rich people less taxes dont care dont want control afraid immigrants full hate control government',TIN
'talks dumber looks maga',TIN
'shove view despicable show everyone always says',UNT
'feel sorry voters good choice',TIN
'juan know side pretty much know going listening watching better nauseated_face',TIN
'leftist collusion party',TIN
'sexual assault #trump family time #maga girls stay silent',TIN
'especially play good religious interview seriously imagine pulling crap interview &amp imagine interview supreme court justice much time talking pure',TIN
'fuck yeah',TIN
'empty soul',TIN
'away child boring cant even pile_of_poo',TIN
'nobody cares paid police need hold lock',TIN
'nigga',UNT
'fake info people forget &amp religious books prove stupidity fight cause moral means',TIN
'back better jealous',TIN
'anyone surprised president treason russia elected pick rapist supreme #maga #kavanaugh',TIN
'sucks team',TIN
'fucking',TIN
'cant stupid #maga #qanon #thursdaythoughts #drainthedeepstate #wwg1wga #walkaway',TIN
'knew find liberals fault face_with_rolling_eyes',TIN
'fuck abuse watched match',UNT
'long might make sense',TIN
'brett kavanaugh supposed selling point elections become enough lies away liberals listening ignorant stories pouting_face pouting_face pouting_face pouting_face',TIN
'conservatives become party',TIN
'free thought shit lmaoooo',TIN
'liberals sick disgusting animals brains',TIN
'women meant look even dont give shit',TIN
'control activist david used shoot',TIN
'long thought liberals children adult',TIN
'course remembered biggest hypocrite history change rules constantly',TIN
'nose know loud mouth media using promote control lines order bring attention control debate knows nothing',TIN
'upon surely fault',TIN
'deranged left make little boys really going happen pure evil #votedemsout #maga',TIN
'good',TIN
'shyt',TIN
'broke little might cause desperate actions dying thats',TIN
'limits',TIN
'seriously really believe crap dont move offensive ugly side',TIN
'never planned quickly liberals never learn know tactics actions &amp know think &amp research thats hate cant control',TIN
'well shootings keep happening stupid laws time americans woke something keep happening going help proper control laws',TIN
'theyre fucking cute',UNT
'national full people mean paying people cause violence spoke antifa official group terrorists',TIN
'serena bully shove throat line judge open points away losing went point lost match threats shes bully',TIN
'left become bunch thugs',TIN
'tired answer phone shit thats even worth face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',UNT
'love dont give isnt mentally dangerous idiot',TIN
'calls intellectual knows smarter intellectual',TIN
'joke lefties behaviour disgusting',TIN
'latino conservativesselfhating freaks',TIN
'talk worst year player history',TIN
'woman nothing play tennis constantly disrespectful insane whole apology',TIN
'lets play game side openly advocating race &amp promoting supporting group brown shirts calling control wanted',UNT
'child',TIN
'mean communist antifa people coming defense despite shit political team sports dumb',TIN
'assholes going jail happened paid company mueller knows',TIN
'mean',TIN
'traitor',TIN
'pick fuck',TIN
'people always bullshit &amp missing anything another person cant shit together &amp better time anyway',TIN
'stupid',TIN
'delusional college corruption cronies ruin almost #voteredtosaveamerica #maga United_States United_States United_States',UNT
'well always porn title going love porn',TIN
'domino',TIN
'tried shit positive work isnt kind pedo garbage',TIN
'uneducated sports sport looks joke',UNT
'conservatives tweet',TIN
'voice domestic violence lobby #cdnpoli',TIN
'another need common sense control legislation documents alleged mass murderer thought wife cheating',TIN
'going tell time fuck block report whos current president',TIN
'maga nothing innocent satan',TIN
'realize radical tweets sound right trying antifa',TIN
'looks sucking goes hearings',TIN
'hopefully team',TIN
'mouth &amp evil friend opinion',TIN
'shit time',UNT
'needs serious help anger case',TIN
'chance blew',TIN
'need control right wait guess doesnt stop criminals abiding citizens known think want control disarm',TIN
'dick sell quick',TIN
'cities policies promote growth lack daily killings control issue',TIN
'didnt money accounts stuff everything obsession hope',TIN
'liberals democrats demand transparency well transparency said start thread careful wish',TIN
'want #maga stop intellectual china away china give business countries business move countries make look weak china crook',TIN
'legs',TIN
'weird debate control debate laws allow people guns kill people shocked guns used kill people',UNT
'greatest economy jobs blacks hispanics history ms13 illegals daily back table trump corruption',UNT
'look gordon deep threat hurt need come play',TIN
'waiting mean florence gonna',TIN
'piece human trash going away nobody cares constantly thinks trump acted call going live telling people attack conservatives',TIN
'anyone supports control racist',TIN
'stands care human side',TIN
'fucking sucks',UNT
'youve become another nail trump',TIN
'communist daddy #maga',TIN
'dont support control support says read history find part reason',TIN
'something must wanna someone gives beating first lets around black women much better find white people much',TIN
'another touch americans',UNT
'deplorable dregs society says make criminals think #maga #wwg1wga #qanon #draintheswamp #drainthedeepstate',TIN
'glad worked hard shame thing understand talk write clearly',TIN
'penis syndrome definitely offense face_with_tears_of_joy #maga',UNT
'look mirror lefties bigger bullies antifa progressive leftist trying right',TIN
'saying niggas nike military racist military fuck nike face_with_tears_of_joy',TIN
'always lier',TIN
'said things liberals president trump immigrants trying people country &amp follow rules come come criminal turn &amp another point view',TIN
'antifa',TIN
'babies arent future suppose sucking dead putting trash thats thing',TIN
'obama preach control drug mexico advocate open borders piece shit worth obama',TIN
'wrong time long piece carry',TIN
'hero',UNT
'last night watched whole never heard started talking platform liberals ruin everything',TIN
'shit',UNT
'line sucks',TIN
'nigga made knows brought back',TIN
'unhinged liberals scared wont able murder babies normal people common sense fake accusation',TIN
'another brat antifa lock comes another except raped middle room stuck mouth prove wrong',TIN
'plenty conservatives work afraid share racism hate democrats sickening',TIN
'fuck fuck although conservatives fucking right',TIN
'seeing post legislation control hand legislation need support mental individual',TIN
'probably death threats votes likely lots support #maga voters',TIN
'rest america swamp washington washington worst place decide whats good america',TIN
'democrats continue rapist democrats republicans allow rapist president isnt',TIN
'cant believe fucking died face_blowing_a_kiss weary_face red_heart',TIN
'dont shit',UNT
'white liberals easily worse bigots nothing coward wants keep kind identity politics thank people seeing evil',TIN
'boss conservatives shouldnt made weak leader wouldnt happened tries left wing freedom speech coward takes positions trudeau',TIN
'need away wants media advocating control',TIN
'gods ears part lets hope conservatives part stay polls dems desperate fraud',TIN
'obama holder cops getting killed year hated enforcement civil',TIN
'control disgrace unamused_face',TIN
'dumb',TIN
'please bitch lump dumb sister skull',TIN
'lost half fans getting involved politics believe support open borders control much dope guess common',TIN
'mean forced democrats liberals racist people dont problem',TIN
'govt policy labour conservatives decades never likely implemented sadly effect',UNT
'fake news right mind along',TIN
'standard trudeau canadians think canadians stupid',TIN
'empathy president presidential trump hope',TIN
'awesome awesome dont call shit movie well bitch fired left',TIN
'believe step worse according sociopath narcissist',UNT
'never rest career hope season cause thats good nice',TIN
'good miss follow seems idiot &amp think perfect even though disagree still looking better model america',TIN
'fuck dont start working soon whole shit',TIN
'gonna antifa idiots shot fast face_with_tears_of_joy face_with_tears_of_joy dont even realize owners really aware whats going around',TIN
'favorite play mass murderer real life',TIN
'think knows going lose anyway nothing lose battle suicide think unfortunately stay news',TIN
'agree antifa arrested start trouble',TIN
'dont remember time liberals believe',TIN
'control enough enough',UNT
'lost soul father real good',TIN
'nut',TIN
'support control grinning_face',TIN
'prosecuted waste beautiful person ruined family friends lives know little loved',TIN
'swear niggas make wanna turn phone',TIN
'conservatives person believe need become elections dont well dishonest dems think violence worse conservatives need able defend loved ones',TIN
'every western country thats mass shootings control lying',TIN
'treason free america antifa',TIN
'even obama trade trump trade mess #maga',UNT
'democratic socialism #maga #kag',TIN
'state level crime alleged silly liberals crime committed kavanaugh probably liar ford',TIN
'blood hands control',TIN
'thing fascist left antifa socialists democrats folks right fascism look trump attacks rule putin',TIN
'keep nonsense democrats midterms taxes youll able page everyone universal health care control save lives learn eventually',TIN
'dick durbin figures lies enough people start believe right leftist playbook',TIN
'sexy',TIN
'think racist touch reality presidency reality show empathy suffering tell truth mentally incapable president country',TIN
'fired arrested clearly using drugs',TIN
'well really sure went claiming punch women asshole completely wrong tweet nothing clear fact sucks',TIN
'kick absolute',TIN
'good example cant ar15 someone used control pussies',UNT
'wont looks never takes time',TIN
'stop spreading false news hurt enough dont need shit',TIN
'shit',UNT
'obama done nothing problem office going telling stories trump able hope control',TIN
'disgusting need politics corrupt kind politicians americans tired country brett kavanaugh voted americans stand',TIN
'fuck',UNT
'even chris said people stop first warning second warning serena kept going sucks ended keep arguing making comments second warning expecting',TIN
'fools respect',TIN
'fucking league football',TIN
'guilty',TIN
'broken gonna able demon gonna cool using every battle',TIN
'half apology goes away conservative anything close ruined life mentally deranged liberals totally disgusting',TIN
'sound stuck record dont find something less boring instead',TIN
'kerry needs prosecuted iran needs done quickly security &amp remove',TIN
'metoo movement democrats &amp hate group antifa another form agenda metoo people jump name justice mass bullying threaten expose',TIN
'cant tell story whore life fuck people money',TIN
'trump started mess stop doesnt part problem',TIN
'traitor thinks',TIN
'political slap face women really abused liberals know leader told whatever power pathetic',TIN
'mother spoiled heck still loves brat things happen brat deserves still child realize',TIN
'years republicans obamas outrage phony fake president',TIN
'lmao',TIN
'indeed follow sometimes',TIN
'went high school dumb liberals area',TIN
'hate solution change playbook losers',TIN
'totally question making millions dollars still make living unethical',TIN
'lost believe',UNT
'dont pigs dont life outrage bill clinton keith ellison hypocrites #maga',TIN
'maybe consider instead theresa isnt real name shes conservatives terrorist',TIN
'says stands sensible control',TIN
'outrage something credible instead #maga',TIN
'people love david think roger waters dick obviously',TIN
'advocating ridiculous',TIN
'thats #walkaway waters zero control demon within thats happens &amp stupid folks devil satan 2016 #americafirst #maga',TIN
'fucking hilarious',UNT
'fucking little',TIN
'cares sick head',TIN
'ummm theres video coach literally lmao maybe read strong shitty opinions',TIN
'kerry nothing damn politician going trying president traitor sure better watch',TIN
'especially fascist nazi tell people pathetic shame',TIN
'arent conservatives religious isnt republican party denounce denounce antifa',TIN
'understand america reading share knowledge american fellow citizens #maga #kag',TIN
'pedophile criminal deserves fired',TIN
'inciting violence twitter accounts supporting potus made',TIN
'eric holder prison',TIN
'fucking fast holy shit',UNT
'good shit great model young kids play football stand believe',TIN
'holy shit better drinking eating nauseated_face',TIN
'dead mass shooting bank building deep state fake news crisis actor control bullshit',TIN
'loved hate brown show really screwed kids back please favorite &amp jerry maybe show',TIN
'never talk shut',TIN
'bullshit daughters watched tennis match deserved williams fans game',TIN
'know look outside lost shit head funny',TIN
'nigga tweeting hope',TIN
'explains leftists',TIN
'antifa creep trying look cant help',TIN
'fuck',UNT
'worst expect consider personally gain confirmation',TIN
'busy monster',TIN
'come dirty pervert point',TIN
'think everyone read means question referring case effect',TIN
'antifa hate disagree hypocritical',TIN
'history time better left United_States United_States',TIN
'local national news youd follow anyone outside liberal know majority conservatives',TIN
'quiet shedevil',TIN
'sexual assault folded_hands #maga want know sickening &amp thumbs_up',TIN
'pointing umpire calling walking fast toward official calling moron think clear needs help perhaps',TIN
'thanks time hahaha',TIN
'pedophiles catholic church',TIN
'liberals wonder dont want',TIN
'maybe cause hateful',TIN
'whatever sabotage liberals acting completely respect millions legal voters voted',TIN
'going system know criminal easy rather simple person',TIN
'make best country though nothing special throw make butt hurt',TIN
'puppet dont move back works mouth nothing',TIN
'holder total disgrace office',TIN
'fool',TIN
'definitely thats sure shes professor university folks #trump #maga',TIN
'quite obvious morons star totally canada already extremely tight control laws criminals never never special kind stupid believe banning',TIN
'beto clown supports kneeling thugs',TIN
'proper despite corruption organization',TIN
'liberals decide tragedy tight eyes',TIN
'cant legit watching move',TIN
'funny even woman brought wade later thing abortion &amp another liberals killing children &amp pretending health care',TIN
'youre literally white enemies state youre lucky youre federal terrorists states place soon enough #theresistance #antifa',TIN
'fuck already',TIN
'unfit office mentally deranged unstable',TIN
'funny fuck',TIN
'liberals real trump syndrome',TIN
'course werent interested domestic abuse still domestic abuse hope didnt fake shit actually care domestic abuse',UNT
'brain still somewhere lost liberals plain delusional matter oncoming_fist',TIN
'american terrorists need strict thugs stop',TIN
'sucks killing team',TIN
'help mental good liberals seriously disturbed',TIN
'female thats fucken queen right hands argue face_blowing_a_kiss',UNT
'husband crooked fake throwing paper lost reality dont know help needs lots help',TIN
'surprising conservatives want power life death away government',TIN
'liberals complain',TIN
'antifa domestic terrorist group',TIN
'fuck yeah',UNT
'murderer whole department ashamed cover shame dallas nothing department situation criminal showing dont care citizens dallas',TIN
'hospital shot dead blames control laws',TIN
'send piece pile_of_poo wouldnt nice great build wall time time hillary clinton',TIN
'thats need bring control even better shoot foot real well going school shooting',TIN
'shame',TIN
'wrong white proud american woman happen white represent soooo done identity politics liberals',TIN
'needs quickly music sucks cares political views unfortunately ignorant realize concert went political completely ruined completely',TIN
'safe anyway liar never bottom liar',TIN
'according student spoke hall even',TIN
'clown think going make point garbage look higher maybe higher offense',TIN
'beto move support home',TIN
'character call character',TIN
'existence time block give break nobody funny comedian gave away power hate lost almost everything',TIN
'fuck sorry',TIN
'bullshit live daughter goes school considered clearly move fraud citizens',TIN
'youre #fakenews trying make nothing #liberals &amp #democrats cares happened high school youre victim another metoo sexual',TIN
'conservatives think nearly destroyed decades accept anything free trade label good anything',TIN
'know muslim socialist still believes thinks good politician tell many american gullible',TIN
'rest liberals clueless change',TIN
'lame outside killer',TIN
'isnt bill workers bill workers good record mean playing game argue bernie votes control lives black people chicago',TIN
'took three months respond always takes yall response shit',TIN
'fuck',UNT
'outside pussy sister wanna talk',TIN
'&amp seriously platforms running label children black stay school #maga #kag',TIN
'doesnt leave country america',TIN
'round always didnt work time rude',TIN
'boobs mass',TIN
'obviously care ruin attacks conservatives left control blind',TIN
'burn levis theyre wearing',UNT
'fuck saying shes didnt shit bitch sick annoying boring playing great game even great player said good',TIN
'think eyes',UNT
'received death threats daughters protecting family',TIN
'well really really smart nothing wrote book true good lord shit hear everyday really need oped book',TIN
'control kills people',TIN
'#walkaway party #maga',UNT
'youll spend days hell',TIN
'stupid makes',TIN
'trump posts shit know something going',TIN
'people give shit someones health know health looking know many super healthy people people',TIN
'surprised didnt shoot students prove control important glad dont send kids college waste money turning heads',TIN
'#metoo movement women gotta stand jeff #maga #wwg1wga #confirmkavanaugh',TIN
'every #maga',TIN
'anyone &amp week world give money &amp tomorrow knows everything listen #maga',TIN
'issue kids liberals ridiculous',TIN
'believe trump abused woman maybe physically definitely mentally husband afraid speak',TIN
'fuck yeah',TIN
'year loose hollywood doesnt look good gonna walk might orders',TIN
'sadly given hypocritical unethical behaviour days view claims allegations made huge',TIN
'hate thinks irrelevant opinion matters bitch',TIN
'fuck',UNT
'looks jokes liberals',TIN
'bitch please commie dems ones hell destroy democracy republic',TIN
'gross',TIN
'welcome',TIN
'dont know soros know right actions play identity politics claim left violent thats anyone',TIN
'john kerry swamp nothing nothing less know clown news network',TIN
'everyone life story excuse anyone blame show clearly well &amp shouldnt position happen allowed either',TIN
'yall gonna fight control yall literally pulling shooting',TIN
'party violent liberal antifa hoods beating strangers know nothing great &amp honest good keith ellison women tell',TIN
'bitch love',UNT
'honestly know stupid actually surprising dumb easily people country hell shit every white screaming maga',TIN
'vote know found fraud',TIN
'totally narcissist comment umpire never long lives think disgrace sport',TIN
'coward cant feel judge others looks sure people call',TIN
'shitty thats',UNT
'bitch daily love',TIN
'asking question senator acting baby really adults shame shame',TIN
'fuck',TIN
'skull probably playing super easy home',TIN
'bright',TIN
'moron real americans proud disgusting showing truth',TIN
'right wing scream time talk things control school gets shot exactly time people paying attention someone lost life something horrible &amp',UNT
'true poor',UNT
'dont agree want real play fucking soooo boring shes stupid',TIN
'lunatic democrats politicians antifa george soros think money talk lunatic money money',TIN
'fuckin knows point',UNT
'&amp',UNT
'gotta give credit',TIN
'politicians selling country',TIN
'shit real research gets done',TIN
'california control laws',TIN
'quite good must done times',TIN
'skull beat letting',TIN
'bitter',TIN
'butt',UNT
'cute fuck',TIN
'meme',TIN
'sort control nothing seem really good nothing',TIN
'penis shes remember specific pizza pizza years looks dems ancient memory based accusations #confirmkavanaughnow #maga',TIN
'takes google search help uneducated liberals',UNT
'antifa finally suicide nice',TIN
'eric crook thats',TIN
'said many times liberals conservatives sides back canadians',TIN
'think pope others prosecuted covering protecting child rapists',TIN
'people dead shooting california &amp working good control',UNT
'forget',TIN
'idiot smart either',TIN
'minute never vote liberal thing acceptable liberal mean hide hate scum fool think give shit',TIN
'holy shit lawyer false football player head',TIN
'shit',TIN
'jones blue spewing worse kind shit going play anyone card shouldnt people',TIN
'suck pouting_face pouting_face pouting_face pouting_face pouting_face pouting_face',UNT
'another really stupid single issue anything gets beliefs',TIN
'shes great comedian',TIN
'think hoping someone care even',TIN
'',UNT
'president trump promises real reason hated',TIN
'fault isnt make father anything father coward question hand throat time',TIN
'beto control leave',TIN
'control',UNT
'even theyd call &amp &amp maga',UNT
'expect message trump says collusion gonna someone #resist #maga',TIN
'actually',TIN
'tell suck sure',TIN
'president isnt anything thats much #greatawakening',TIN
'favor control thats correct saying',TIN
'thing antifa coward bitches smart',TIN
'forget speak speak delusional disgusting truth worth trash pick coming',TIN
'sick dude',TIN
'liberals investigate liberals believe trump investigation private citizen dictator',TIN
'antifa anti fascist told wouldnt throw unless',TIN
'body',UNT
'canadian live special forces everything anti weapons control fucking part country many morons guns',TIN
'fault blame',TIN
'#maga good days',TIN
'hahaha lunatic liberals busy still dont',TIN
'needs husband investigated deals post office deals',TIN
'well weve fucked almost fans',TIN
'bitch wanna know',TIN
'still going jail',TIN
'fucked world free bullshit jail even investigated rape',TIN
'absolutely hilarious liberals',TIN
'fool',TIN
'shes',TIN
'isnt much liberals ignorant know many things arent',TIN
'really side mess people cardi talking bout shit',TIN
'gone high rolling_on_the_floor_laughing',TIN
'wonder dems idiots fine example teach dems grow become president antifa',TIN
'hate speech main stream media need daily democrats liberals progressives look &amp hate speech',TIN
'come liberals dont question',UNT
'full shit',TIN
'talking dont need need skull face_with_tears_of_joy',TIN
'dropped going deal',UNT
'thats true theresa call conservatives enough',TIN
'republican party sexually girl judge sitting highest court land making decisions womens health #maga',TIN
'dope',TIN
'conservatives mean people work taxes help support people guess dumb thinking appreciate instead wanting start paying taxes much love spend',TIN
'weird hunt goal find feels need prove didnt care enough either going unamused_face',UNT
'sorry asked',TIN
'clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands gets negative anyone always defending behavior show little girl clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands',TIN
'done deal said said shes leftist antifa nobody',TIN
'seriously lying',TIN
'pussy different times never black life',TIN
'long went quite pays pointing remember getting guys assholes',TIN
'liar proven whole argument fake news',TIN
'clinton class response idiot likely land twitter jail totally worth hope office',TIN
'conservatives keep telling million immigrants ruining economy numbers several times help',TIN
'#conservatives must answer crimes #tories',TIN
'refugees destroy country radical countries #conservatives',TIN
'isnt propaganda pushing lobby group cares idea rest looks ar15 stuck',TIN
'majority evidence control homicides',TIN
'sorry democratic party party hate antifa finally back office economy people jobs liberal people trashy ignorant things',TIN
'fuck thats racist dont wanna dude call selfish wanted report',TIN
'think victim feels sure fine death threats shes getting fine christian conservatives',UNT
'done knowledge base drunk lies',TIN
'vote cruz beto part deep state turn control back liberals',TIN
'stop pretending catholic church seat satan earth',TIN
'absolutely furious fellow conservatives sounds credible true guys memory goes back days',TIN
'shes liberal school shes healthy shes antifa stop conservative judge president trump even',TIN
'among friends terrorist loves terrorist',TIN
'creepy pedo desperately trying relevant world trump',TIN
'trump done',TIN
'antifa holding position police racist killed call attacking enforcement attacking cancer body attacking body even',TIN
'tough easy hold fucking hard',TIN
'still remember show sucks',UNT
'girl said wish money concert reaction lmao',TIN
'vile trying bitch time knows thats control conversation paper',TIN
'saying worse clue shits gonna terrible thats case gonna',TIN
'liar clinton',TIN
'liberals',TIN
'cant even listen idiotic liberals seem',TIN
'allowed control wouldnt happen',TIN
'really thought come back',TIN
'#republicans grow balls start playing dirty liberals assholes',TIN
'fake news propaganda enemy country',TIN
'brain america maybe brain meant',TIN
'cause theyre assholes',TIN
'still find hilarious people think literally response comment liberals upset getting liberal upset kind',TIN
'woman town asshole followed home beat',TIN
'nuts devil',TIN
'thats government funded used argue control guns home dont make quite opposite',TIN
'vote known racist',TIN
'amazing democrats always leading polls liberals live polls control liberals insane',TIN
'worth cock smiling_face_with_sunglasses',TIN
'swear glad never drunk shit tryna',UNT
'president',TIN
'suck',TIN
'love cops much make goal away need stop crime lives support antifa thugs assault cops cops bastards',TIN
'liberals really hate &amp message republicans really need advantage democrats enough party &amp want policy &amp',TIN
'#liberals #conservatives &amp &amp &amp &amp',TIN
'arent making woman making liberals supporting covering womans body garbage might rape given moment',TIN
'#kavanaugh cant back couldnt back charge follow dems back congress conservatives high crimes &amp',TIN
'part knows shes sick knows crook life shes sick woman soul',TIN
'fucking doesnt matter found dead secret dead ignorant someone',UNT
'left leaning attacks attack back many conservatives happy complaining fire people left energy lots things dont change going loose',TIN
'communist destroying america lock United_States',TIN
'speaking drug &amp',UNT
'yeah sure antifa antifascist free speech everyone liberals conservatives fascists communists live fascist state thinks hate speech',TIN
'somehow trump helping wonderful things wanted away religion',TIN
'talking chinese leader seeing',TIN
'bitch took years',TIN
'looking extra tory 2018 must nightmare still politically tories dont want',TIN
'refugees marijuana control',UNT
'time maga beyond',TIN
'anyone assault harassment sexually coach remember yesterday almost scum',TIN
'kind taking class',TIN
'dont door',TIN
'liberals sure walking dangerous line',TIN
'cheater casey',TIN
'kerry full shit things knows iran baby wants keep matter costs',TIN
